Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
38,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
39,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
39,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
39,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
39,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
39,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
40,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
40,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
40,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
40,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
40,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
