Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
39,Logistic Regression,0.9219512195121952,0.8293799417394923,0.8293799417394923,0.8293799417394923,0.9379421556387849
39,Random Forest,0.9219512195121952,0.8383402394106814,0.805815647107782,0.8208531323392867,0.9510247607157719
39,SVM,0.9170731707317074,0.8187161880982106,0.8187161880982106,0.8187161880982106,0.9128693300041614
39,Gradient Boosting,0.9243902439024391,0.8424161908530725,0.8150749063670412,0.8278967109450109,0.9567207657095298
39,KNN,0.9243902439024391,0.8360816024523017,0.8307844361215148,0.8334010564811052,0.9495162297128588
40,Logistic Regression,0.9219512195121952,0.8293799417394923,0.8293799417394923,0.8293799417394923,0.9379421556387849
40,Random Forest,0.9219512195121952,0.8383402394106814,0.805815647107782,0.8208531323392867,0.9510247607157719
40,SVM,0.9170731707317074,0.8187161880982106,0.8187161880982106,0.8187161880982106,0.9128693300041614
40,Gradient Boosting,0.9243902439024391,0.8424161908530725,0.8150749063670412,0.8278967109450109,0.9567207657095298
40,KNN,0.9243902439024391,0.8360816024523017,0.8307844361215148,0.8334010564811052,0.9495162297128588
