Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
KNeighborsClassifier,0.9341463414634147,0.8364024136496047,0.8364024136496047,0.932777566959973,0.136061429977417
LinearSVC,0.8975609756097561,0.8310445276737412,0.8310445276737412,0.9024112990906789,2.2845544815063477
NearestCentroid,0.824390243902439,0.8281835205992509,0.8281835205992509,0.8464526651345541,0.12511372566223145
XGBClassifier,0.9317073170731708,0.8271431543903454,0.8271431543903454,0.9299840542236326,0.6017680168151855
ExtraTreesClassifier,0.926829268292683,0.8243341656263005,0.8243341656263004,0.9256265263555085,0.5046193599700928
BaggingClassifier,0.9097560975609756,0.82235746982938,0.82235746982938,0.9114335355092045,0.9674046039581299
LogisticRegression,0.9195121951219513,0.8201206824802331,0.820120682480233,0.9191925269451275,0.2421245574951172
LGBMClassifier,0.9243902439024391,0.8150749063670412,0.8150749063670412,0.9228186879910804,0.4986252784729004
Perceptron,0.8926829268292683,0.8046712442779859,0.8046712442779858,0.8964658938201725,0.16318130493164062
PassiveAggressiveClassifier,0.8878048780487805,0.801862255513941,0.8018622555139409,0.8924529616724739,0.2559092044830322
AdaBoostClassifier,0.9121951219512195,0.8001976695796921,0.800197669579692,0.9114897500647751,1.0513827800750732
RidgeClassifierCV,0.8609756097560975,0.7942675821889305,0.7942675821889305,0.8715122559834457,0.8200562000274658
DecisionTreeClassifier,0.8682926829268293,0.7906263004577612,0.790626300457761,0.8766790321443677,0.2706031799316406
RandomForestClassifier,0.9195121951219513,0.788701622971286,0.788701622971286,0.9163560096072528,0.41390156745910645
BernoulliNB,0.7926829268292683,0.7785060341240116,0.7785060341240116,0.8199390260676869,0.16380524635314941
SVC,0.9219512195121952,0.766541822721598,0.766541822721598,0.916022047941454,0.9354469776153564
ExtraTreeClassifier,0.8609756097560975,0.7314294631710363,0.7314294631710363,0.865432787384007,0.09887385368347168
SGDClassifier,0.9024390243902439,0.7160320432792343,0.7160320432792342,0.8938857333778817,0.22478604316711426
RidgeClassifier,0.7292682926829268,0.7027153558052435,0.7027153558052435,0.7688082067016208,0.3114955425262451
LinearDiscriminantAnalysis,0.6414634146341464,0.6285892634207242,0.6285892634207242,0.6988249422601426,1.5289199352264404
GaussianNB,0.4170731707317073,0.5857781939242613,0.5857781939242613,0.48279983315306657,0.12070035934448242
QuadraticDiscriminantAnalysis,0.2926829268292683,0.5848418643362464,0.5848418643362464,0.3096682424800234,1.381662368774414
CalibratedClassifierCV,0.8780487804878049,0.5527465667915106,0.5527465667915106,0.8365091787780589,10.664241075515747
LabelSpreading,0.18536585365853658,0.5230441115272576,0.5230441115272576,0.13683860427121017,0.2331838607788086
LabelPropagation,0.18536585365853658,0.5230441115272576,0.5230441115272576,0.13683860427121017,0.20019841194152832
DummyClassifier,0.8682926829268293,0.5,0.5,0.8070814494045724,0.09012055397033691
