Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Naive Bayes,0.8221,0.8231,0.8453,0.9403,0.8901,0.4278,0.4458,0.15,21
Linear Discriminant Analysis,0.8032,0.7651,0.8314,0.9306,0.8778,0.3766,0.3939,0.607,21
Quadratic Discriminant Analysis,0.4976,0.8125,0.4198,0.9809,0.5846,0.1567,0.2722,0.707,21
Gradient Boosting Classifier,0.9337,0.9573,0.9746,0.9494,0.9617,0.7149,0.7216,2.457,22
K Neighbors Classifier,0.9247,0.9288,0.9706,0.9431,0.9565,0.6744,0.6817,0.165,22
Extra Trees Classifier,0.924,0.9297,0.9665,0.9459,0.9559,0.6784,0.6834,0.383,22
Random Forest Classifier,0.9233,0.9464,0.9697,0.9422,0.9556,0.6707,0.6789,0.352,22
Ada Boost Classifier,0.9191,0.9359,0.9681,0.9391,0.9533,0.6509,0.6579,0.625,22
Logistic Regression,0.9177,0.9348,0.9615,0.9435,0.9523,0.6513,0.6558,0.213,22
SVM - Linear Kernel,0.9044,0.9253,0.9402,0.9483,0.9436,0.6233,0.6319,0.193,22
Decision Tree Classifier,0.8982,0.7968,0.9403,0.9403,0.9402,0.5953,0.5967,0.192,22
Ridge Classifier,0.88,0.85,0.9141,0.9436,0.9285,0.5556,0.5593,0.195,22
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,22
Naive Bayes,0.8291,0.804,0.856,0.9388,0.8949,0.4376,0.4541,0.148,22
Linear Discriminant Analysis,0.7864,0.7632,0.8077,0.9329,0.8652,0.3608,0.3837,0.533,22
Quadratic Discriminant Analysis,0.4062,0.7881,0.3076,0.9816,0.4585,0.112,0.2249,0.659,22
Random Forest Classifier,0.9309,0.9564,0.9763,0.945,0.9602,0.6963,0.705,0.334,23
Extra Trees Classifier,0.9274,0.9308,0.9738,0.9435,0.9582,0.6804,0.6904,0.401,23
Logistic Regression,0.9267,0.9402,0.9673,0.9481,0.9575,0.6922,0.6981,0.24,23
Gradient Boosting Classifier,0.9246,0.9638,0.9697,0.9441,0.9565,0.6717,0.68,2.349,23
K Neighbors Classifier,0.9177,0.9244,0.9656,0.9398,0.9524,0.6456,0.6513,0.199,23
SVM - Linear Kernel,0.9163,0.9244,0.9607,0.9435,0.9513,0.6452,0.6591,0.246,23
Ada Boost Classifier,0.9142,0.9243,0.9648,0.9369,0.9505,0.6278,0.6377,0.542,23
Decision Tree Classifier,0.8995,0.7964,0.9427,0.9399,0.9411,0.5967,0.5998,0.228,23
Ridge Classifier,0.8835,0.8474,0.9165,0.9456,0.9305,0.5671,0.5728,0.204,23
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.168,23
Naive Bayes,0.8179,0.8026,0.847,0.9334,0.888,0.4058,0.4204,0.178,23
Linear Discriminant Analysis,0.8039,0.7513,0.829,0.9338,0.8778,0.3878,0.4067,0.525,23
Quadratic Discriminant Analysis,0.3859,0.7905,0.2839,0.9867,0.4389,0.0968,0.2146,0.659,23
Gradient Boosting Classifier,0.933,0.9578,0.9762,0.947,0.9613,0.7114,0.7192,2.285,24
Random Forest Classifier,0.9323,0.948,0.9812,0.942,0.9611,0.6998,0.711,0.354,24
Extra Trees Classifier,0.9309,0.9317,0.9713,0.949,0.9599,0.7083,0.7131,0.393,24
Logistic Regression,0.9274,0.9377,0.964,0.9518,0.9577,0.7006,0.7038,0.242,24
K Neighbors Classifier,0.9184,0.9283,0.9681,0.9384,0.9529,0.6469,0.6549,0.195,24
Ada Boost Classifier,0.9149,0.9265,0.9672,0.9356,0.9509,0.6278,0.6394,0.585,24
SVM - Linear Kernel,0.9107,0.9288,0.9386,0.9574,0.9465,0.6642,0.6788,0.225,24
Ridge Classifier,0.9023,0.8787,0.9329,0.9519,0.9421,0.6282,0.6318,0.201,24
Decision Tree Classifier,0.8989,0.8156,0.9337,0.9469,0.94,0.6143,0.6174,0.243,24
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,24
Linear Discriminant Analysis,0.8283,0.7831,0.8543,0.9391,0.8945,0.438,0.4534,0.544,24
Naive Bayes,0.8066,0.785,0.8388,0.9281,0.8806,0.3734,0.389,0.175,24
Quadratic Discriminant Analysis,0.4299,0.8444,0.3363,0.9864,0.498,0.1212,0.2411,0.683,24
Gradient Boosting Classifier,0.9281,0.9545,0.9738,0.9439,0.9585,0.688,0.6944,2.33,25
Random Forest Classifier,0.9239,0.9524,0.9746,0.9387,0.9563,0.6648,0.6727,0.345,25
Extra Trees Classifier,0.9204,0.9366,0.9664,0.9421,0.954,0.6599,0.6655,0.398,25
Logistic Regression,0.919,0.9374,0.9648,0.9421,0.9532,0.6526,0.6582,0.22,25
K Neighbors Classifier,0.9162,0.9315,0.9591,0.9438,0.9513,0.6521,0.6554,0.195,25
SVM - Linear Kernel,0.9141,0.9354,0.9623,0.939,0.9503,0.6309,0.6373,0.204,25
Ada Boost Classifier,0.9107,0.9221,0.9689,0.9295,0.9488,0.602,0.6114,0.601,25
Decision Tree Classifier,0.8925,0.7981,0.9321,0.9415,0.9366,0.5825,0.5848,0.237,25
Ridge Classifier,0.8856,0.8562,0.9231,0.942,0.9322,0.5622,0.5663,0.186,25
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.171,25
Naive Bayes,0.8095,0.7938,0.8396,0.9304,0.8823,0.3859,0.4013,0.176,25
Linear Discriminant Analysis,0.7962,0.7612,0.8281,0.9254,0.8737,0.3514,0.3674,0.523,25
Quadratic Discriminant Analysis,0.3615,0.7977,0.2544,0.987,0.3985,0.0867,0.2006,0.636,25
Extra Trees Classifier,0.9414,0.9371,0.9779,0.9552,0.9661,0.7462,0.7551,0.388,26
Random Forest Classifier,0.9386,0.9527,0.982,0.9487,0.9648,0.723,0.7357,0.283,26
Gradient Boosting Classifier,0.9379,0.9525,0.9779,0.9515,0.9643,0.7258,0.7352,2.221,26
Logistic Regression,0.9365,0.944,0.9697,0.9572,0.9631,0.7325,0.7384,0.244,26
K Neighbors Classifier,0.9344,0.9218,0.9722,0.9528,0.9621,0.7171,0.7259,0.181,26
Ada Boost Classifier,0.9309,0.9396,0.9697,0.9509,0.96,0.7054,0.7122,0.519,26
SVM - Linear Kernel,0.9253,0.9409,0.9648,0.9496,0.9566,0.6816,0.6935,0.16,26
Decision Tree Classifier,0.9114,0.8305,0.9452,0.9513,0.948,0.6468,0.651,0.201,26
Ridge Classifier,0.9044,0.8665,0.937,0.9506,0.9436,0.6295,0.6322,0.164,26
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,26
Naive Bayes,0.8277,0.7838,0.8601,0.9332,0.8949,0.4183,0.431,0.146,26
Linear Discriminant Analysis,0.8137,0.7834,0.8364,0.9391,0.8844,0.4089,0.4294,0.53,26
Quadratic Discriminant Analysis,0.3908,0.8231,0.2914,0.981,0.4476,0.0968,0.2105,0.64,26
Gradient Boosting Classifier,0.933,0.9635,0.973,0.9502,0.9612,0.7129,0.7212,2.321,27
Extra Trees Classifier,0.9274,0.9416,0.9713,0.9454,0.9581,0.6874,0.6932,0.365,27
Random Forest Classifier,0.9267,0.9579,0.9746,0.9418,0.9578,0.678,0.6856,0.358,27
Logistic Regression,0.9246,0.9497,0.9656,0.9475,0.9563,0.6816,0.6873,0.235,27
K Neighbors Classifier,0.924,0.9392,0.9648,0.9475,0.9559,0.6778,0.6837,0.199,27
Ada Boost Classifier,0.9233,0.9357,0.9722,0.9406,0.9559,0.6587,0.67,0.614,27
SVM - Linear Kernel,0.9197,0.9454,0.9705,0.9381,0.9538,0.6466,0.6598,0.204,27
Decision Tree Classifier,0.9009,0.8052,0.9411,0.9436,0.942,0.5981,0.6028,0.244,27
Ridge Classifier,0.8946,0.8716,0.9312,0.9447,0.9377,0.5941,0.5978,0.191,27
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.155,27
Naive Bayes,0.8234,0.8005,0.8543,0.9331,0.8917,0.4162,0.4292,0.178,27
Linear Discriminant Analysis,0.8207,0.7706,0.8486,0.9354,0.8896,0.4158,0.4312,0.545,27
Quadratic Discriminant Analysis,0.3608,0.8315,0.2528,0.9905,0.3989,0.0868,0.2042,0.61,27
Gradient Boosting Classifier,0.9323,0.9606,0.9763,0.9463,0.9609,0.7079,0.7163,2.32,28
SVM - Linear Kernel,0.9288,0.9285,0.973,0.9454,0.9588,0.6947,0.7023,0.218,28
K Neighbors Classifier,0.9281,0.9358,0.973,0.9445,0.9585,0.6904,0.6962,0.194,28
Logistic Regression,0.9274,0.9337,0.9664,0.9495,0.9578,0.6979,0.7018,0.253,28
Random Forest Classifier,0.9247,0.948,0.9722,0.9416,0.9565,0.6738,0.6823,0.346,28
Ada Boost Classifier,0.9239,0.9298,0.973,0.9401,0.9561,0.6688,0.6779,0.605,28
Extra Trees Classifier,0.9233,0.9347,0.9656,0.9457,0.9555,0.6776,0.6822,0.379,28
Decision Tree Classifier,0.9016,0.7981,0.9452,0.9399,0.9424,0.604,0.6056,0.228,28
Ridge Classifier,0.8954,0.8582,0.928,0.9484,0.9379,0.605,0.609,0.2,28
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.154,28
Naive Bayes,0.8101,0.7921,0.8379,0.9335,0.8827,0.3883,0.4068,0.181,28
Linear Discriminant Analysis,0.7914,0.7587,0.8127,0.9344,0.8688,0.3696,0.3929,0.586,28
Quadratic Discriminant Analysis,0.4103,0.8241,0.3109,0.9926,0.473,0.1123,0.2378,0.634,28
Gradient Boosting Classifier,0.9379,0.9641,0.9771,0.9517,0.9641,0.7326,0.7388,2.375,29
Extra Trees Classifier,0.9379,0.9397,0.9779,0.9509,0.9641,0.7331,0.7389,0.375,29
Random Forest Classifier,0.9344,0.9644,0.9787,0.9465,0.9622,0.7133,0.7229,0.274,29
Logistic Regression,0.9316,0.9562,0.9705,0.9505,0.9603,0.7128,0.7164,0.227,29
Ada Boost Classifier,0.9288,0.9468,0.9738,0.9448,0.9589,0.6923,0.7019,0.607,29
SVM - Linear Kernel,0.9225,0.9497,0.9607,0.9507,0.9548,0.672,0.6891,0.201,29
K Neighbors Classifier,0.9204,0.941,0.9624,0.9458,0.9538,0.6652,0.6694,0.197,29
Ridge Classifier,0.9149,0.8936,0.9484,0.9519,0.95,0.6622,0.665,0.156,29
Decision Tree Classifier,0.9044,0.7987,0.9485,0.9402,0.9442,0.6092,0.612,0.224,29
Linear Discriminant Analysis,0.8626,0.831,0.8928,0.9434,0.9172,0.5132,0.5219,0.551,29
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,29
Naive Bayes,0.8108,0.8175,0.8281,0.9437,0.8818,0.4151,0.4398,0.171,29
Quadratic Discriminant Analysis,0.3063,0.8139,0.1898,0.9797,0.3144,0.0595,0.1608,0.577,29
Gradient Boosting Classifier,0.9309,0.9627,0.9738,0.9472,0.96,0.703,0.714,2.269,30
K Neighbors Classifier,0.9302,0.9307,0.9673,0.9521,0.9595,0.7076,0.7126,0.203,30
Extra Trees Classifier,0.9267,0.9338,0.9681,0.9476,0.9575,0.689,0.6952,0.391,30
Random Forest Classifier,0.9253,0.9526,0.9706,0.9439,0.9569,0.6783,0.6873,0.358,30
Logistic Regression,0.9239,0.9436,0.964,0.9481,0.9558,0.6819,0.6878,0.245,30
SVM - Linear Kernel,0.9225,0.9458,0.9591,0.951,0.9548,0.6823,0.6865,0.216,30
Ada Boost Classifier,0.9162,0.9344,0.9656,0.9384,0.9516,0.6399,0.6495,0.61,30
Decision Tree Classifier,0.8981,0.798,0.9403,0.9404,0.9402,0.5952,0.5983,0.24,30
Ridge Classifier,0.896,0.8541,0.9321,0.9458,0.9385,0.5979,0.6031,0.199,30
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.162,30
Linear Discriminant Analysis,0.8249,0.7747,0.8494,0.9397,0.8921,0.432,0.449,0.556,30
Naive Bayes,0.8234,0.7947,0.8535,0.9342,0.8917,0.4161,0.4304,0.178,30
Quadratic Discriminant Analysis,0.3698,0.7992,0.2659,0.9816,0.4118,0.0887,0.1991,0.673,30
Random Forest Classifier,0.933,0.9599,0.9738,0.9491,0.9612,0.7145,0.7211,0.352,31
Extra Trees Classifier,0.933,0.9455,0.9713,0.9512,0.9611,0.7191,0.7229,0.331,31
Gradient Boosting Classifier,0.9302,0.9679,0.9673,0.9518,0.9593,0.7118,0.7163,2.287,31
K Neighbors Classifier,0.9246,0.9394,0.973,0.9409,0.9565,0.6708,0.6803,0.184,31
Logistic Regression,0.9239,0.9579,0.9615,0.95,0.9556,0.6882,0.6904,0.237,31
SVM - Linear Kernel,0.9177,0.949,0.9558,0.9493,0.9518,0.6588,0.6717,0.203,31
Ada Boost Classifier,0.9135,0.9448,0.9631,0.9372,0.9499,0.632,0.6397,0.595,31
Decision Tree Classifier,0.9114,0.8275,0.9468,0.9492,0.9479,0.6511,0.6533,0.227,31
Ridge Classifier,0.8939,0.8679,0.9296,0.9454,0.9373,0.592,0.5944,0.181,31
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.13,31
Naive Bayes,0.8178,0.8137,0.8437,0.9367,0.8872,0.4157,0.4326,0.166,31
Linear Discriminant Analysis,0.7801,0.744,0.8068,0.9261,0.8621,0.3303,0.351,0.588,31
Quadratic Discriminant Analysis,0.2463,0.8047,0.1178,0.7909,0.2037,0.0359,0.1157,0.618,31
K Neighbors Classifier,0.9282,0.9306,0.9648,0.9516,0.9581,0.7054,0.7073,0.164,32
Logistic Regression,0.9274,0.9355,0.9673,0.9487,0.9578,0.6971,0.6997,0.226,32
Gradient Boosting Classifier,0.9274,0.9539,0.9722,0.9444,0.9581,0.6893,0.6941,2.371,32
Random Forest Classifier,0.9254,0.951,0.9738,0.9409,0.9571,0.6723,0.6786,0.289,32
Extra Trees Classifier,0.9232,0.9312,0.9689,0.9429,0.9557,0.6701,0.6746,0.396,32
SVM - Linear Kernel,0.9204,0.9308,0.9542,0.9529,0.9531,0.6875,0.694,0.214,32
Ada Boost Classifier,0.9191,0.9265,0.9705,0.9371,0.9534,0.6445,0.6537,0.524,32
Ridge Classifier,0.8939,0.8475,0.9296,0.9451,0.9372,0.5949,0.5973,0.167,32
Decision Tree Classifier,0.8918,0.7921,0.9337,0.9395,0.9364,0.5732,0.5756,0.224,32
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.168,32
Naive Bayes,0.829,0.7894,0.8666,0.928,0.8958,0.4169,0.4252,0.173,32
Linear Discriminant Analysis,0.7843,0.7449,0.8142,0.9237,0.8653,0.3343,0.3516,0.518,32
Quadratic Discriminant Analysis,0.4179,0.7959,0.324,0.9805,0.484,0.1112,0.2256,0.56,32
Gradient Boosting Classifier,0.9274,0.9554,0.9706,0.9461,0.958,0.6898,0.6974,2.461,33
Logistic Regression,0.924,0.9394,0.964,0.948,0.9558,0.6825,0.687,0.19,33
K Neighbors Classifier,0.924,0.9309,0.9591,0.9526,0.9556,0.6882,0.6918,0.156,33
Random Forest Classifier,0.9218,0.9482,0.9706,0.94,0.9549,0.6599,0.6674,0.36,33
Extra Trees Classifier,0.9218,0.9286,0.9681,0.9422,0.9549,0.6627,0.6688,0.489,33
Ada Boost Classifier,0.9198,0.9343,0.9755,0.9337,0.954,0.6412,0.6561,0.521,33
SVM - Linear Kernel,0.9002,0.9345,0.9321,0.9512,0.9403,0.6203,0.635,0.177,33
Decision Tree Classifier,0.8995,0.7908,0.9452,0.938,0.9413,0.5895,0.594,0.188,33
Ridge Classifier,0.8772,0.8468,0.9133,0.9412,0.9267,0.5446,0.5496,0.183,33
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.211,33
Linear Discriminant Analysis,0.8095,0.7537,0.8364,0.9335,0.8819,0.3939,0.411,0.659,33
Naive Bayes,0.8081,0.7969,0.8338,0.935,0.8811,0.3877,0.4079,0.144,33
Quadratic Discriminant Analysis,0.3391,0.7905,0.2291,0.9804,0.3681,0.0734,0.1809,0.558,33
Random Forest Classifier,0.9295,0.9502,0.973,0.946,0.9592,0.6988,0.7044,0.269,34
Gradient Boosting Classifier,0.9275,0.9569,0.9754,0.9421,0.9582,0.6813,0.6958,2.364,34
Logistic Regression,0.9267,0.9434,0.9672,0.9482,0.9574,0.6927,0.6992,0.323,34
Extra Trees Classifier,0.9267,0.9328,0.9656,0.9496,0.9574,0.6945,0.6996,0.344,34
K Neighbors Classifier,0.917,0.9294,0.9615,0.9425,0.9517,0.6519,0.6586,0.19,34
Ada Boost Classifier,0.9149,0.9362,0.9705,0.9329,0.951,0.6216,0.6375,0.552,34
SVM - Linear Kernel,0.9135,0.9378,0.9574,0.9429,0.9496,0.6377,0.6488,0.203,34
Decision Tree Classifier,0.8877,0.7838,0.9312,0.9375,0.9338,0.5564,0.5645,0.223,34
Ridge Classifier,0.8849,0.8478,0.9272,0.9376,0.932,0.5509,0.5552,0.194,34
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.14,34
Naive Bayes,0.8047,0.7753,0.8339,0.9303,0.8789,0.3767,0.394,0.174,34
Linear Discriminant Analysis,0.7411,0.6987,0.7668,0.9163,0.8344,0.258,0.282,0.584,34
Quadratic Discriminant Analysis,0.4012,0.8154,0.3011,0.99,0.4602,0.1062,0.2283,0.557,34
Extra Trees Classifier,0.9274,0.9247,0.9697,0.947,0.958,0.6879,0.695,0.392,35
Random Forest Classifier,0.9247,0.9448,0.9746,0.9397,0.9567,0.6646,0.6742,0.291,35
Gradient Boosting Classifier,0.9233,0.9533,0.9689,0.9431,0.9557,0.6661,0.6711,2.509,35
Logistic Regression,0.9233,0.9383,0.9648,0.9467,0.9555,0.6747,0.6787,0.202,35
Ada Boost Classifier,0.9211,0.9324,0.9689,0.9406,0.9545,0.6604,0.6668,0.542,35
K Neighbors Classifier,0.917,0.9134,0.9681,0.9369,0.9522,0.6374,0.6445,0.157,35
SVM - Linear Kernel,0.9128,0.9329,0.9657,0.9349,0.9497,0.6175,0.6319,0.206,35
Decision Tree Classifier,0.8912,0.7912,0.9329,0.9395,0.936,0.569,0.5713,0.24,35
Ridge Classifier,0.8877,0.8501,0.9296,0.9385,0.9338,0.5601,0.5629,0.165,35
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,35
Naive Bayes,0.8186,0.7896,0.8544,0.927,0.8891,0.3945,0.4045,0.165,35
Linear Discriminant Analysis,0.7948,0.742,0.8298,0.9218,0.873,0.3446,0.3582,0.523,35
Quadratic Discriminant Analysis,0.3238,0.8072,0.2119,0.9804,0.3466,0.064,0.1686,0.578,35
Extra Trees Classifier,0.9239,0.943,0.973,0.9404,0.9562,0.6634,0.6731,0.392,36
Random Forest Classifier,0.9218,0.9538,0.9763,0.9354,0.9552,0.6458,0.6603,0.285,36
Gradient Boosting Classifier,0.9183,0.9572,0.9673,0.9391,0.9529,0.6468,0.6528,2.376,36
K Neighbors Classifier,0.9183,0.9273,0.9607,0.9449,0.9526,0.6574,0.6617,0.185,36
Logistic Regression,0.9176,0.9371,0.9664,0.9391,0.9524,0.6452,0.6524,0.253,36
Ada Boost Classifier,0.9176,0.9241,0.9705,0.9354,0.9526,0.6393,0.6481,0.616,36
SVM - Linear Kernel,0.9134,0.9325,0.9656,0.9354,0.95,0.6237,0.636,0.168,36
Decision Tree Classifier,0.8946,0.7913,0.9378,0.9388,0.9382,0.5797,0.5809,0.188,36
Ridge Classifier,0.887,0.852,0.9239,0.9431,0.9331,0.565,0.571,0.162,36
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.161,36
Linear Discriminant Analysis,0.8157,0.7724,0.8428,0.9352,0.886,0.4062,0.4238,0.572,36
Naive Bayes,0.8109,0.7817,0.8446,0.9282,0.884,0.3745,0.3897,0.15,36
Quadratic Discriminant Analysis,0.4495,0.8272,0.356,0.9955,0.5217,0.1381,0.2671,0.584,36
Gradient Boosting Classifier,0.9309,0.9678,0.9722,0.9482,0.96,0.7082,0.7145,2.376,37
K Neighbors Classifier,0.9288,0.9456,0.9607,0.9562,0.9583,0.7136,0.7157,0.197,37
Random Forest Classifier,0.9288,0.9624,0.9771,0.9419,0.9591,0.6864,0.697,0.29,37
Logistic Regression,0.9282,0.9633,0.9673,0.9497,0.9582,0.7014,0.7081,0.247,37
Extra Trees Classifier,0.9267,0.9357,0.9722,0.9439,0.9577,0.6833,0.6913,0.399,37
SVM - Linear Kernel,0.9211,0.9532,0.9664,0.9437,0.9543,0.6609,0.677,0.171,37
Ada Boost Classifier,0.9205,0.9549,0.9657,0.9427,0.9539,0.6643,0.6708,0.6,37
Decision Tree Classifier,0.9121,0.8411,0.9419,0.9545,0.9479,0.6637,0.6675,0.245,37
Ridge Classifier,0.9072,0.8947,0.9362,0.9544,0.9449,0.6485,0.6533,0.171,37
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.174,37
Naive Bayes,0.8276,0.8055,0.8576,0.9355,0.8943,0.428,0.4424,0.186,37
Linear Discriminant Analysis,0.8144,0.8132,0.8314,0.9442,0.8841,0.4271,0.45,0.533,37
Quadratic Discriminant Analysis,0.3399,0.8287,0.2299,0.9803,0.37,0.0734,0.1813,0.591,37
Gradient Boosting Classifier,0.9309,0.9524,0.9746,0.9462,0.9601,0.7011,0.7078,2.358,38
K Neighbors Classifier,0.926,0.9179,0.9665,0.9481,0.9571,0.6881,0.6918,0.146,38
Logistic Regression,0.9239,0.9378,0.9624,0.9495,0.9558,0.6832,0.6864,0.216,38
Random Forest Classifier,0.9218,0.9381,0.9722,0.9386,0.955,0.6573,0.6654,0.292,38
Extra Trees Classifier,0.9212,0.9271,0.9632,0.9456,0.9542,0.6699,0.6731,0.424,38
Ada Boost Classifier,0.9163,0.9263,0.9648,0.9389,0.9516,0.642,0.6476,0.547,38
SVM - Linear Kernel,0.9114,0.9323,0.9631,0.9364,0.9488,0.6052,0.6271,0.18,38
Decision Tree Classifier,0.8974,0.8058,0.9362,0.9433,0.9396,0.5975,0.5991,0.202,38
Ridge Classifier,0.8939,0.8579,0.9296,0.9455,0.9373,0.5912,0.5948,0.163,38
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,38
Naive Bayes,0.8171,0.7976,0.8429,0.9365,0.887,0.4128,0.4296,0.156,38
Linear Discriminant Analysis,0.7823,0.7418,0.8093,0.9266,0.8633,0.3342,0.3551,0.598,38
Quadratic Discriminant Analysis,0.4012,0.7931,0.3027,0.983,0.46,0.1045,0.2203,0.709,38
Gradient Boosting Classifier,0.9275,0.9491,0.9664,0.9495,0.9579,0.697,0.6999,2.382,39
Random Forest Classifier,0.9212,0.947,0.9722,0.9379,0.9546,0.6542,0.6626,0.293,39
K Neighbors Classifier,0.9205,0.9278,0.9623,0.9455,0.9538,0.6684,0.6717,0.204,39
Extra Trees Classifier,0.9205,0.9258,0.9673,0.9412,0.954,0.6599,0.6642,0.342,39
Logistic Regression,0.9191,0.9305,0.9615,0.9448,0.953,0.6616,0.665,0.234,39
Ada Boost Classifier,0.9142,0.928,0.9599,0.9409,0.9502,0.6394,0.643,0.577,39
SVM - Linear Kernel,0.9079,0.9261,0.9525,0.9406,0.9463,0.6192,0.6237,0.227,39
Decision Tree Classifier,0.8849,0.7884,0.9255,0.9388,0.9318,0.5592,0.5629,0.222,39
Ridge Classifier,0.88,0.8445,0.9157,0.9423,0.9286,0.5507,0.5547,0.168,39
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.134,39
Naive Bayes,0.8122,0.799,0.8412,0.9321,0.8838,0.3977,0.4136,0.168,39
Linear Discriminant Analysis,0.7802,0.7272,0.8044,0.9281,0.8613,0.3406,0.3618,0.593,39
Quadratic Discriminant Analysis,0.3909,0.7823,0.2906,0.9836,0.445,0.0991,0.214,0.578,39
Gradient Boosting Classifier,0.9309,0.9465,0.9714,0.949,0.9599,0.7086,0.7144,2.366,40
Extra Trees Classifier,0.9295,0.9273,0.9705,0.9482,0.9592,0.7,0.705,0.412,40
K Neighbors Classifier,0.9267,0.9212,0.9673,0.9479,0.9574,0.6939,0.6971,0.163,40
Random Forest Classifier,0.926,0.945,0.9754,0.9403,0.9575,0.6725,0.6811,0.341,40
Logistic Regression,0.9211,0.9348,0.9616,0.9469,0.9541,0.6746,0.6774,0.203,40
Ada Boost Classifier,0.9121,0.921,0.964,0.935,0.9492,0.6217,0.6286,0.606,40
SVM - Linear Kernel,0.9121,0.928,0.9542,0.9438,0.9487,0.6381,0.6445,0.184,40
Decision Tree Classifier,0.9009,0.8118,0.9386,0.9449,0.9416,0.6117,0.6139,0.204,40
Ridge Classifier,0.8988,0.8621,0.9354,0.9453,0.9402,0.6102,0.6112,0.167,40
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.164,40
Linear Discriminant Analysis,0.8213,0.7887,0.8511,0.9336,0.8902,0.4146,0.4283,0.577,40
Naive Bayes,0.8067,0.7825,0.8371,0.9294,0.8805,0.3785,0.3942,0.15,40
Quadratic Discriminant Analysis,0.3917,0.7824,0.294,0.9756,0.4368,0.1006,0.2046,0.699,40
