Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Naive Bayes,0.8061,0.7119,0.8454,0.9207,0.881,0.3584,0.3691,0.08,5
Linear Discriminant Analysis,0.7127,0.6503,0.7236,0.9222,0.8099,0.2512,0.2842,0.354,5
Quadratic Discriminant Analysis,0.5848,0.774,0.5417,0.9492,0.6862,0.1911,0.2697,0.328,5
Random Forest Classifier,0.9267,0.9387,0.9795,0.9376,0.958,0.6714,0.6854,0.23,6
Gradient Boosting Classifier,0.9254,0.9339,0.9836,0.9327,0.9574,0.656,0.6743,0.61,6
Extra Trees Classifier,0.9239,0.928,0.9722,0.9407,0.9561,0.6699,0.6768,0.216,6
K Neighbors Classifier,0.9225,0.9283,0.9632,0.9472,0.955,0.6769,0.6813,0.095,6
Logistic Regression,0.9212,0.9374,0.9632,0.9455,0.9542,0.6714,0.6746,0.086,6
Ridge Classifier,0.9107,0.9067,0.9501,0.9455,0.9476,0.6432,0.6468,0.097,6
SVM - Linear Kernel,0.9093,0.9176,0.9501,0.9442,0.9468,0.6353,0.6414,0.087,6
Ada Boost Classifier,0.9058,0.9057,0.9616,0.9305,0.9456,0.5922,0.6,0.28,6
Decision Tree Classifier,0.8919,0.7928,0.9337,0.9394,0.9363,0.5748,0.5777,0.11,6
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.067,6
Naive Bayes,0.7697,0.6805,0.8068,0.913,0.856,0.2852,0.2998,0.083,6
Linear Discriminant Analysis,0.7222,0.6072,0.7446,0.9143,0.8198,0.2336,0.2605,0.415,6
Quadratic Discriminant Analysis,0.5862,0.775,0.5434,0.9524,0.689,0.1877,0.2704,0.381,6
Extra Trees Classifier,0.9316,0.938,0.9746,0.9469,0.9605,0.7057,0.7115,0.205,7
Logistic Regression,0.9309,0.9463,0.9673,0.9525,0.9598,0.7143,0.717,0.091,7
K Neighbors Classifier,0.9295,0.9351,0.964,0.9541,0.9588,0.7122,0.7163,0.085,7
Random Forest Classifier,0.9281,0.9466,0.9795,0.9389,0.9587,0.6796,0.6913,0.224,7
Gradient Boosting Classifier,0.9225,0.9364,0.9812,0.9317,0.9558,0.6443,0.6603,0.529,7
Ridge Classifier,0.9218,0.9286,0.9607,0.9485,0.9545,0.6772,0.6801,0.103,7
Ada Boost Classifier,0.9149,0.9198,0.9624,0.9394,0.9506,0.6404,0.6455,0.27,7
Decision Tree Classifier,0.9127,0.8292,0.9476,0.9501,0.9488,0.6527,0.6538,0.098,7
SVM - Linear Kernel,0.9086,0.9312,0.9492,0.9447,0.946,0.6351,0.6442,0.091,7
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.081,7
Naive Bayes,0.7892,0.7235,0.8167,0.9272,0.8676,0.355,0.3729,0.08,7
Linear Discriminant Analysis,0.7244,0.6452,0.7447,0.9163,0.8206,0.2462,0.2728,0.364,7
Quadratic Discriminant Analysis,0.6435,0.8097,0.6081,0.9591,0.742,0.2468,0.327,0.35,7
Logistic Regression,0.9246,0.9476,0.973,0.941,0.9566,0.6696,0.6784,0.099,8
Extra Trees Classifier,0.924,0.9283,0.9722,0.9411,0.9562,0.6678,0.6789,0.26,8
Random Forest Classifier,0.9212,0.9377,0.9787,0.9325,0.9549,0.641,0.6568,0.193,8
K Neighbors Classifier,0.9211,0.9216,0.9673,0.9422,0.9544,0.6622,0.6701,0.083,8
Gradient Boosting Classifier,0.9191,0.9247,0.9795,0.9297,0.9538,0.6267,0.646,0.55,8
Ridge Classifier,0.9163,0.9276,0.9575,0.9455,0.9512,0.6534,0.658,0.108,8
Ada Boost Classifier,0.9114,0.9118,0.9665,0.9326,0.949,0.6079,0.6189,0.225,8
SVM - Linear Kernel,0.9044,0.9368,0.9386,0.9499,0.9432,0.6289,0.6409,0.094,8
Decision Tree Classifier,0.8974,0.7853,0.9444,0.936,0.9401,0.5826,0.5839,0.104,8
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.073,8
Naive Bayes,0.7788,0.7046,0.8101,0.922,0.8617,0.3131,0.3331,0.077,8
Linear Discriminant Analysis,0.7027,0.6431,0.7152,0.9177,0.8037,0.228,0.2604,0.39,8
Quadratic Discriminant Analysis,0.5519,0.7532,0.5016,0.9488,0.6555,0.1632,0.2463,0.32,8
K Neighbors Classifier,0.9288,0.922,0.9705,0.9475,0.9588,0.697,0.7016,0.093,9
Random Forest Classifier,0.9247,0.9439,0.9804,0.9346,0.9569,0.6592,0.6737,0.197,9
Logistic Regression,0.9239,0.9378,0.9689,0.9436,0.956,0.6753,0.6801,0.09,9
Extra Trees Classifier,0.9233,0.9261,0.9714,0.9407,0.9557,0.6675,0.675,0.204,9
Gradient Boosting Classifier,0.917,0.9258,0.9771,0.9294,0.9526,0.6208,0.6364,0.621,9
Ridge Classifier,0.9149,0.917,0.9575,0.9438,0.9505,0.6475,0.6508,0.101,9
SVM - Linear Kernel,0.9114,0.9247,0.9624,0.9361,0.9489,0.6151,0.6224,0.09,9
Ada Boost Classifier,0.9065,0.9178,0.9591,0.9335,0.9458,0.6005,0.6086,0.237,9
Decision Tree Classifier,0.903,0.8048,0.9444,0.9424,0.9432,0.6098,0.6129,0.104,9
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.08,9
Naive Bayes,0.8221,0.7393,0.8568,0.9293,0.8912,0.405,0.4165,0.084,9
Linear Discriminant Analysis,0.7007,0.6097,0.7177,0.9122,0.8026,0.2158,0.2438,0.374,9
Quadratic Discriminant Analysis,0.6162,0.7628,0.5811,0.9517,0.7167,0.2127,0.2899,0.322,9
Logistic Regression,0.9372,0.9566,0.9722,0.9553,0.9635,0.7366,0.741,0.085,10
K Neighbors Classifier,0.9288,0.9411,0.9591,0.9576,0.9583,0.7148,0.7162,0.082,10
Extra Trees Classifier,0.9267,0.9393,0.9673,0.9481,0.9575,0.6907,0.694,0.208,10
Random Forest Classifier,0.9254,0.9521,0.9763,0.9389,0.9571,0.6686,0.6784,0.209,10
SVM - Linear Kernel,0.9219,0.945,0.9624,0.9471,0.9544,0.6785,0.6852,0.092,10
Gradient Boosting Classifier,0.9198,0.9368,0.9738,0.9351,0.954,0.641,0.6519,0.53,10
Ada Boost Classifier,0.9191,0.8981,0.9714,0.9363,0.9534,0.6438,0.6522,0.261,10
Ridge Classifier,0.9184,0.9303,0.9567,0.9481,0.9523,0.6683,0.6697,0.099,10
Decision Tree Classifier,0.8995,0.8041,0.9395,0.943,0.941,0.6003,0.6036,0.093,10
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.074,10
Naive Bayes,0.8087,0.7135,0.8486,0.9212,0.8831,0.3587,0.3692,0.089,10
Linear Discriminant Analysis,0.7055,0.5892,0.7357,0.9012,0.8095,0.1853,0.2062,0.367,10
Quadratic Discriminant Analysis,0.6267,0.772,0.5908,0.9549,0.7232,0.2335,0.3099,0.38,10
Extra Trees Classifier,0.9337,0.9432,0.9787,0.9457,0.9618,0.709,0.7177,0.249,11
Random Forest Classifier,0.9323,0.9506,0.9828,0.9409,0.9612,0.6939,0.7079,0.197,11
K Neighbors Classifier,0.9309,0.9287,0.9714,0.9492,0.96,0.7059,0.7121,0.091,11
Logistic Regression,0.9267,0.9491,0.9722,0.944,0.9578,0.6803,0.6872,0.099,11
Gradient Boosting Classifier,0.9253,0.9297,0.9787,0.9371,0.9573,0.6598,0.6742,0.521,11
Ridge Classifier,0.9204,0.9052,0.9624,0.9457,0.9538,0.6649,0.6688,0.127,11
SVM - Linear Kernel,0.9191,0.9297,0.9681,0.9397,0.9534,0.6432,0.6546,0.107,11
Decision Tree Classifier,0.9107,0.8162,0.9501,0.9461,0.9478,0.6341,0.6377,0.122,11
Ada Boost Classifier,0.9107,0.888,0.9664,0.9317,0.9486,0.6054,0.6142,0.212,11
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.086,11
Naive Bayes,0.7704,0.6832,0.8069,0.9147,0.8567,0.2835,0.3009,0.108,11
Linear Discriminant Analysis,0.7419,0.6519,0.7578,0.9261,0.8334,0.2843,0.3147,0.362,11
Quadratic Discriminant Analysis,0.6874,0.8116,0.6636,0.9572,0.781,0.287,0.3567,0.318,11
Extra Trees Classifier,0.933,0.9469,0.9755,0.9477,0.9613,0.7123,0.7195,0.203,12
Logistic Regression,0.9295,0.955,0.9714,0.9474,0.9592,0.7007,0.705,0.091,12
Gradient Boosting Classifier,0.9281,0.9383,0.9804,0.9383,0.9588,0.6774,0.691,0.6,12
Random Forest Classifier,0.9281,0.9504,0.9771,0.941,0.9587,0.6837,0.6929,0.201,12
K Neighbors Classifier,0.9275,0.9435,0.964,0.9517,0.9577,0.7023,0.7055,0.085,12
Ridge Classifier,0.9225,0.9236,0.9591,0.9506,0.9547,0.686,0.6883,0.096,12
Ada Boost Classifier,0.9218,0.9201,0.9648,0.945,0.9546,0.6701,0.676,0.229,12
SVM - Linear Kernel,0.9183,0.9419,0.9591,0.9461,0.9524,0.6632,0.6658,0.089,12
