Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.076,21
Naive Bayes,0.8375,0.7539,0.8724,0.9325,0.9013,0.4427,0.4508,0.104,21
Linear Discriminant Analysis,0.6867,0.5603,0.7144,0.8981,0.7946,0.1597,0.1823,0.416,21
Quadratic Discriminant Analysis,0.5967,0.8114,0.5491,0.9625,0.6971,0.2093,0.3004,0.397,21
Logistic Regression,0.9295,0.9497,0.9697,0.9488,0.9591,0.7042,0.7078,0.11,22
Extra Trees Classifier,0.926,0.9215,0.973,0.9424,0.9573,0.6796,0.6883,0.352,22
K Neighbors Classifier,0.9247,0.9308,0.9591,0.9532,0.956,0.6939,0.6975,0.107,22
Random Forest Classifier,0.9219,0.9421,0.9779,0.9338,0.9552,0.6472,0.6618,0.192,22
Gradient Boosting Classifier,0.9198,0.9313,0.9755,0.9336,0.954,0.6389,0.6498,0.609,22
Ridge Classifier,0.9177,0.9172,0.9574,0.9467,0.952,0.6622,0.6638,0.104,22
SVM - Linear Kernel,0.9072,0.9294,0.9476,0.9438,0.9456,0.6287,0.6309,0.095,22
Ada Boost Classifier,0.9044,0.9026,0.9607,0.9297,0.9448,0.5855,0.5935,0.242,22
Decision Tree Classifier,0.8946,0.8015,0.9337,0.9423,0.9378,0.5906,0.5925,0.099,22
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.133,22
Naive Bayes,0.8179,0.7539,0.8445,0.9359,0.8874,0.4132,0.4296,0.105,22
Linear Discriminant Analysis,0.7384,0.6795,0.757,0.9223,0.8314,0.271,0.2997,0.49,22
Quadratic Discriminant Analysis,0.5513,0.7733,0.4942,0.9604,0.6519,0.1741,0.2685,0.334,22
Extra Trees Classifier,0.9309,0.9314,0.9787,0.9429,0.9603,0.6926,0.7049,0.369,23
Random Forest Classifier,0.9302,0.944,0.9828,0.9388,0.9601,0.6791,0.6969,0.236,23
Logistic Regression,0.9295,0.9516,0.9697,0.949,0.9591,0.7022,0.7079,0.115,23
Gradient Boosting Classifier,0.9274,0.9309,0.9812,0.9373,0.9585,0.6682,0.688,0.81,23
K Neighbors Classifier,0.9253,0.9382,0.9656,0.9482,0.9567,0.684,0.69,0.111,23
Ridge Classifier,0.9169,0.9206,0.9566,0.9468,0.9516,0.6586,0.6614,0.133,23
Ada Boost Classifier,0.91,0.9017,0.9615,0.9351,0.9479,0.6125,0.6198,0.385,23
SVM - Linear Kernel,0.9065,0.9317,0.9452,0.9457,0.945,0.6281,0.6366,0.106,23
Decision Tree Classifier,0.8953,0.7815,0.9427,0.9353,0.9388,0.5751,0.5789,0.128,23
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.116,23
Naive Bayes,0.8039,0.7127,0.8421,0.9217,0.8798,0.3509,0.3632,0.105,23
Linear Discriminant Analysis,0.7251,0.6453,0.7381,0.9251,0.82,0.261,0.2959,0.56,23
Quadratic Discriminant Analysis,0.6491,0.7952,0.6245,0.9458,0.7498,0.2331,0.2997,0.388,23
Logistic Regression,0.9309,0.9538,0.9746,0.9464,0.9602,0.6979,0.7054,0.09,24
Gradient Boosting Classifier,0.9281,0.9311,0.9853,0.9347,0.9591,0.6597,0.6819,0.626,24
Random Forest Classifier,0.9267,0.9467,0.9804,0.9373,0.9581,0.6631,0.6805,0.2,24
Extra Trees Classifier,0.926,0.9192,0.9754,0.9405,0.9575,0.671,0.681,0.203,24
K Neighbors Classifier,0.9232,0.9298,0.9623,0.9487,0.9554,0.6799,0.6838,0.091,24
Ridge Classifier,0.9218,0.9277,0.9591,0.9501,0.9544,0.6795,0.6835,0.101,24
Ada Boost Classifier,0.9176,0.9074,0.9656,0.9398,0.9524,0.6449,0.6515,0.241,24
SVM - Linear Kernel,0.9142,0.9356,0.9599,0.9415,0.9503,0.6328,0.6412,0.091,24
Decision Tree Classifier,0.9002,0.8121,0.937,0.9459,0.9411,0.6105,0.6155,0.106,24
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.072,24
Naive Bayes,0.8032,0.7197,0.838,0.9242,0.8788,0.3607,0.3736,0.085,24
Linear Discriminant Analysis,0.7125,0.6412,0.7341,0.9117,0.8121,0.2238,0.2498,0.369,24
Quadratic Discriminant Analysis,0.5639,0.7778,0.5114,0.9571,0.6636,0.1827,0.2715,0.329,24
Extra Trees Classifier,0.9261,0.9334,0.9681,0.9465,0.9571,0.6902,0.6961,0.215,25
Random Forest Classifier,0.9254,0.9453,0.9796,0.9363,0.9573,0.6627,0.6792,0.212,25
Gradient Boosting Classifier,0.9226,0.9337,0.9738,0.9379,0.9555,0.6599,0.669,0.592,25
Logistic Regression,0.9212,0.9432,0.9656,0.9434,0.9543,0.668,0.6735,0.094,25
K Neighbors Classifier,0.9191,0.9255,0.9591,0.947,0.9527,0.6687,0.6742,0.082,25
Ridge Classifier,0.9191,0.9228,0.9574,0.9483,0.9527,0.6707,0.6737,0.109,25
Ada Boost Classifier,0.91,0.9011,0.9591,0.9369,0.9478,0.6208,0.624,0.253,25
SVM - Linear Kernel,0.9051,0.9224,0.9435,0.9453,0.9441,0.6271,0.6328,0.094,25
Decision Tree Classifier,0.8926,0.7961,0.9329,0.941,0.9367,0.5793,0.5831,0.105,25
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.081,25
Naive Bayes,0.7781,0.6933,0.8135,0.9173,0.8619,0.3039,0.3197,0.083,25
Linear Discriminant Analysis,0.7132,0.6264,0.7341,0.9127,0.8131,0.2238,0.2509,0.407,25
Quadratic Discriminant Analysis,0.5639,0.7708,0.5122,0.954,0.6616,0.1856,0.2701,0.363,25
Extra Trees Classifier,0.9302,0.9403,0.9779,0.9425,0.9599,0.6937,0.7013,0.21,26
Logistic Regression,0.9281,0.9386,0.9763,0.9419,0.9587,0.6818,0.6898,0.097,26
Random Forest Classifier,0.9281,0.9486,0.9804,0.9382,0.9588,0.6783,0.689,0.197,26
K Neighbors Classifier,0.9267,0.9259,0.9665,0.9487,0.9574,0.6937,0.6966,0.082,26
Gradient Boosting Classifier,0.926,0.9344,0.9771,0.939,0.9576,0.6688,0.6781,0.546,26
SVM - Linear Kernel,0.9184,0.9235,0.9558,0.9492,0.9524,0.666,0.6683,0.092,26
Ada Boost Classifier,0.9183,0.906,0.9673,0.9391,0.9528,0.6474,0.6551,0.288,26
Ridge Classifier,0.9135,0.8951,0.9558,0.9438,0.9495,0.6433,0.6481,0.107,26
Decision Tree Classifier,0.9038,0.8183,0.9395,0.9473,0.943,0.6297,0.6351,0.111,26
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.074,26
Naive Bayes,0.7899,0.718,0.82,0.9253,0.8692,0.3433,0.3605,0.077,26
Linear Discriminant Analysis,0.7467,0.6917,0.7569,0.9335,0.8356,0.3068,0.3418,0.364,26
Quadratic Discriminant Analysis,0.6162,0.8161,0.5728,0.9622,0.7168,0.2249,0.3132,0.396,26
Random Forest Classifier,0.9281,0.9486,0.9828,0.9362,0.9589,0.6736,0.6888,0.207,27
K Neighbors Classifier,0.9246,0.9358,0.9656,0.9472,0.9562,0.6841,0.6874,0.081,27
Logistic Regression,0.9239,0.9414,0.9681,0.9443,0.956,0.6756,0.6814,0.097,27
Extra Trees Classifier,0.9225,0.9422,0.973,0.9386,0.9554,0.6611,0.6704,0.258,27
Gradient Boosting Classifier,0.917,0.9291,0.9787,0.928,0.9526,0.6181,0.6373,0.543,27
SVM - Linear Kernel,0.9142,0.9232,0.9533,0.9468,0.9499,0.6489,0.6531,0.114,27
Ridge Classifier,0.91,0.8959,0.9518,0.9435,0.9474,0.6337,0.6377,0.142,27
Ada Boost Classifier,0.9065,0.9026,0.9574,0.9349,0.9458,0.6017,0.6077,0.229,27
Decision Tree Classifier,0.8988,0.7963,0.9427,0.9392,0.9408,0.592,0.5946,0.131,27
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.075,27
Naive Bayes,0.8242,0.7203,0.8674,0.9229,0.8935,0.3826,0.3929,0.08,27
Linear Discriminant Analysis,0.7313,0.6494,0.7512,0.9186,0.826,0.259,0.2857,0.434,27
Quadratic Discriminant Analysis,0.628,0.7881,0.5859,0.9633,0.7265,0.2422,0.3282,0.338,27
Extra Trees Classifier,0.9274,0.9395,0.973,0.9442,0.9581,0.6848,0.6975,0.21,28
Random Forest Classifier,0.9267,0.9434,0.9787,0.9386,0.9579,0.6721,0.6923,0.197,28
Logistic Regression,0.9198,0.941,0.9689,0.9395,0.9537,0.6503,0.6614,0.096,28
K Neighbors Classifier,0.9114,0.933,0.9517,0.9456,0.9482,0.6346,0.6406,0.087,28
Gradient Boosting Classifier,0.9114,0.9221,0.9787,0.9226,0.9495,0.5843,0.6138,0.567,28
Ridge Classifier,0.9093,0.9133,0.9517,0.9427,0.947,0.6304,0.6344,0.097,28
Ada Boost Classifier,0.9086,0.9046,0.9574,0.937,0.9469,0.6148,0.6201,0.262,28
SVM - Linear Kernel,0.9086,0.9194,0.9591,0.9361,0.9471,0.6083,0.6186,0.087,28
Decision Tree Classifier,0.8967,0.7943,0.9394,0.94,0.9395,0.5852,0.5886,0.096,28
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.074,28
Naive Bayes,0.8332,0.7257,0.878,0.9227,0.8993,0.4095,0.4157,0.086,28
Linear Discriminant Analysis,0.7278,0.6584,0.7455,0.9202,0.8227,0.2593,0.2879,0.372,28
Quadratic Discriminant Analysis,0.6387,0.8031,0.604,0.9561,0.7349,0.2459,0.3218,0.399,28
Logistic Regression,0.9267,0.9485,0.9681,0.9473,0.9575,0.6906,0.694,0.098,29
Extra Trees Classifier,0.9253,0.9355,0.9755,0.9397,0.9571,0.6691,0.6808,0.244,29
Random Forest Classifier,0.9246,0.9472,0.9795,0.9354,0.9569,0.6579,0.6727,0.244,29
K Neighbors Classifier,0.9218,0.9336,0.9624,0.9471,0.9545,0.6762,0.6805,0.082,29
Gradient Boosting Classifier,0.9183,0.926,0.9804,0.9284,0.9535,0.6196,0.6411,0.561,29
Ada Boost Classifier,0.9162,0.9173,0.9624,0.9413,0.9515,0.6426,0.6491,0.236,29
Ridge Classifier,0.9149,0.9091,0.9558,0.9452,0.9504,0.6505,0.6527,0.123,29
SVM - Linear Kernel,0.9107,0.935,0.946,0.9493,0.9475,0.6463,0.6489,0.107,29
Decision Tree Classifier,0.9016,0.7938,0.9468,0.9384,0.9425,0.5999,0.6012,0.112,29
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.084,29
Naive Bayes,0.806,0.7175,0.8429,0.9235,0.8807,0.3616,0.3748,0.08,29
Linear Discriminant Analysis,0.7174,0.6403,0.7374,0.9147,0.816,0.2334,0.2607,0.45,29
Quadratic Discriminant Analysis,0.5771,0.7878,0.5286,0.9563,0.6794,0.1874,0.2752,0.332,29
Logistic Regression,0.9274,0.9478,0.9673,0.9488,0.9578,0.6982,0.7032,0.093,30
K Neighbors Classifier,0.9247,0.9275,0.9673,0.9456,0.9563,0.6829,0.6861,0.094,30
Random Forest Classifier,0.9232,0.9494,0.9787,0.9344,0.956,0.6564,0.6704,0.195,30
Extra Trees Classifier,0.9225,0.9299,0.9722,0.9391,0.9553,0.6647,0.6722,0.255,30
SVM - Linear Kernel,0.9191,0.93,0.9574,0.9485,0.9527,0.6688,0.6729,0.09,30
Ridge Classifier,0.9191,0.927,0.9607,0.9455,0.953,0.662,0.6651,0.107,30
Gradient Boosting Classifier,0.9177,0.937,0.9754,0.9313,0.9528,0.6308,0.6437,0.634,30
Ada Boost Classifier,0.9086,0.9077,0.9591,0.9356,0.9471,0.6102,0.6138,0.256,30
Decision Tree Classifier,0.9003,0.814,0.9362,0.9463,0.9411,0.615,0.6181,0.106,30
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.091,30
Naive Bayes,0.792,0.7229,0.8207,0.927,0.8704,0.3513,0.369,0.076,30
Linear Discriminant Analysis,0.7027,0.6042,0.7226,0.9105,0.8054,0.2074,0.235,0.401,30
Quadratic Discriminant Analysis,0.5994,0.8304,0.5523,0.962,0.6992,0.2129,0.3028,0.331,30
Logistic Regression,0.9219,0.9456,0.9697,0.9408,0.9549,0.6629,0.6723,0.096,31
Random Forest Classifier,0.9177,0.9373,0.973,0.9337,0.9528,0.6305,0.645,0.195,31
K Neighbors Classifier,0.9163,0.9246,0.9607,0.9425,0.9513,0.6495,0.656,0.085,31
Ridge Classifier,0.9128,0.932,0.9542,0.9445,0.9491,0.6413,0.6458,0.104,31
Extra Trees Classifier,0.9121,0.9187,0.9681,0.9319,0.9495,0.6098,0.6216,0.216,31
Gradient Boosting Classifier,0.9093,0.9161,0.9722,0.9254,0.9481,0.5862,0.6005,0.611,31
Ada Boost Classifier,0.9058,0.9007,0.9591,0.9326,0.9455,0.5964,0.6028,0.23,31
SVM - Linear Kernel,0.9058,0.9213,0.9509,0.9398,0.9449,0.6132,0.6206,0.091,31
Decision Tree Classifier,0.8807,0.7715,0.9263,0.9334,0.9298,0.5321,0.5335,0.104,31
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.076,31
Naive Bayes,0.7739,0.703,0.8036,0.9214,0.8583,0.3099,0.3291,0.076,31
Linear Discriminant Analysis,0.723,0.6315,0.7447,0.9147,0.8208,0.2363,0.2631,0.402,31
Quadratic Discriminant Analysis,0.529,0.7401,0.4755,0.9443,0.6317,0.1448,0.2254,0.323,31
Random Forest Classifier,0.9233,0.9504,0.9755,0.9374,0.9559,0.659,0.6709,0.247,32
Extra Trees Classifier,0.9219,0.9382,0.9697,0.9408,0.9549,0.6626,0.6705,0.262,32
Logistic Regression,0.9218,0.9459,0.9673,0.9428,0.9548,0.6669,0.6719,0.097,32
K Neighbors Classifier,0.9184,0.929,0.9575,0.9475,0.9524,0.667,0.6696,0.089,32
Gradient Boosting Classifier,0.9135,0.9258,0.973,0.9293,0.9505,0.6072,0.6225,0.524,32
SVM - Linear Kernel,0.9121,0.9273,0.9534,0.944,0.9485,0.6461,0.6488,0.091,32
Ridge Classifier,0.9107,0.9186,0.9493,0.9462,0.9477,0.6431,0.6441,0.111,32
Ada Boost Classifier,0.9086,0.9046,0.9567,0.9376,0.9469,0.6184,0.6244,0.231,32
Decision Tree Classifier,0.8856,0.7759,0.9313,0.9344,0.9328,0.5487,0.5497,0.096,32
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.092,32
Naive Bayes,0.7802,0.6911,0.8176,0.9159,0.8635,0.305,0.3193,0.075,32
Linear Discriminant Analysis,0.7174,0.6484,0.7242,0.9287,0.8129,0.2656,0.3038,0.401,32
Quadratic Discriminant Analysis,0.5799,0.7617,0.5344,0.9522,0.683,0.1862,0.2696,0.398,32
Logistic Regression,0.9295,0.9322,0.9714,0.9474,0.9591,0.7027,0.7085,0.107,33
Gradient Boosting Classifier,0.9275,0.9242,0.9828,0.9355,0.9585,0.6696,0.6848,0.602,33
Random Forest Classifier,0.9254,0.9388,0.9795,0.936,0.9572,0.6647,0.6767,0.249,33
K Neighbors Classifier,0.9239,0.922,0.9607,0.9506,0.9556,0.6901,0.6919,0.101,33
Ada Boost Classifier,0.9212,0.8939,0.9673,0.9418,0.9543,0.6661,0.6711,0.269,33
Extra Trees Classifier,0.9198,0.929,0.9689,0.939,0.9537,0.6542,0.6606,0.255,33
Ridge Classifier,0.9177,0.923,0.9624,0.9424,0.9522,0.6551,0.6588,0.086,33
SVM - Linear Kernel,0.917,0.9137,0.9624,0.9419,0.9519,0.649,0.6556,0.113,33
Decision Tree Classifier,0.9009,0.8133,0.9378,0.9456,0.9416,0.6139,0.6155,0.117,33
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.087,33
Naive Bayes,0.7871,0.7085,0.82,0.9218,0.8678,0.33,0.3457,0.097,33
Linear Discriminant Analysis,0.7007,0.6279,0.7111,0.9194,0.8012,0.2304,0.2647,0.417,33
Quadratic Discriminant Analysis,0.6037,0.8058,0.5622,0.9521,0.7041,0.2116,0.2904,0.386,33
Logistic Regression,0.9246,0.9481,0.9681,0.9451,0.9563,0.6795,0.6849,0.104,34
K Neighbors Classifier,0.9211,0.9237,0.9648,0.9441,0.9543,0.6675,0.6713,0.107,34
SVM - Linear Kernel,0.919,0.9308,0.9599,0.9463,0.9529,0.6631,0.6666,0.096,34
Extra Trees Classifier,0.919,0.9264,0.9705,0.9372,0.9534,0.6426,0.6517,0.267,34
Random Forest Classifier,0.9169,0.9427,0.9738,0.9322,0.9524,0.625,0.6385,0.245,34
Gradient Boosting Classifier,0.9134,0.9306,0.9763,0.9266,0.9506,0.5982,0.6171,0.541,34
Ada Boost Classifier,0.9113,0.9192,0.955,0.942,0.9483,0.6363,0.6406,0.218,34
Ridge Classifier,0.9107,0.9118,0.9575,0.9393,0.9481,0.6236,0.6287,0.127,34
Decision Tree Classifier,0.8932,0.7924,0.9354,0.9395,0.9372,0.5775,0.5805,0.111,34
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.102,34
Naive Bayes,0.799,0.7132,0.8347,0.9229,0.8757,0.3483,0.3628,0.106,34
Linear Discriminant Analysis,0.725,0.6523,0.7447,0.9175,0.8217,0.2462,0.2742,0.4,34
Quadratic Discriminant Analysis,0.5708,0.7884,0.5147,0.9661,0.6713,0.1942,0.2923,0.324,34
K Neighbors Classifier,0.9316,0.9433,0.9623,0.9579,0.96,0.7247,0.7269,0.079,35
Random Forest Classifier,0.9316,0.9556,0.9836,0.9394,0.9609,0.6901,0.7044,0.195,35
Extra Trees Classifier,0.9316,0.954,0.9804,0.9421,0.9607,0.6959,0.7077,0.255,35
Logistic Regression,0.9281,0.9519,0.9714,0.9461,0.9584,0.693,0.6999,0.106,35
Gradient Boosting Classifier,0.9281,0.9454,0.9828,0.9364,0.9589,0.6729,0.6898,0.571,35
Ridge Classifier,0.926,0.9404,0.964,0.9504,0.9569,0.6937,0.6981,0.111,35
SVM - Linear Kernel,0.9191,0.9336,0.9558,0.9502,0.9526,0.6702,0.6774,0.088,35
Ada Boost Classifier,0.9177,0.9069,0.9607,0.9438,0.9521,0.6588,0.6632,0.22,35
Decision Tree Classifier,0.8981,0.7955,0.9411,0.9398,0.9403,0.5917,0.5936,0.1,35
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.076,35
Naive Bayes,0.8374,0.7462,0.8756,0.9304,0.9016,0.4298,0.4392,0.084,35
Linear Discriminant Analysis,0.7244,0.6665,0.739,0.9234,0.8198,0.2567,0.2905,0.402,35
Quadratic Discriminant Analysis,0.6135,0.775,0.5689,0.9645,0.7106,0.229,0.3181,0.315,35
Logistic Regression,0.9211,0.9434,0.9656,0.9434,0.9543,0.6657,0.6692,0.114,36
SVM - Linear Kernel,0.9204,0.9327,0.9591,0.9485,0.9536,0.6733,0.6766,0.09,36
Random Forest Classifier,0.9204,0.9342,0.9771,0.933,0.9545,0.6392,0.652,0.204,36
K Neighbors Classifier,0.9169,0.93,0.9632,0.9411,0.9518,0.6479,0.6541,0.082,36
Ridge Classifier,0.9135,0.9194,0.9558,0.9436,0.9496,0.6434,0.6459,0.099,36
Ada Boost Classifier,0.9134,0.8979,0.9632,0.9373,0.95,0.6283,0.6348,0.247,36
Extra Trees Classifier,0.9134,0.9222,0.9673,0.9339,0.9502,0.6188,0.626,0.255,36
Gradient Boosting Classifier,0.9127,0.9299,0.973,0.9285,0.9501,0.6026,0.6161,0.598,36
Decision Tree Classifier,0.8904,0.7842,0.9354,0.9363,0.9357,0.5643,0.5661,0.095,36
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.081,36
Naive Bayes,0.7983,0.723,0.8298,0.9261,0.8751,0.3579,0.3733,0.088,36
Linear Discriminant Analysis,0.6964,0.5595,0.7218,0.9036,0.8016,0.1817,0.2064,0.449,36
Quadratic Discriminant Analysis,0.6142,0.7994,0.5738,0.9566,0.712,0.2246,0.3053,0.317,36
K Neighbors Classifier,0.924,0.9331,0.964,0.9479,0.9558,0.6831,0.6859,0.093,37
Extra Trees Classifier,0.9225,0.9259,0.9714,0.9399,0.9553,0.664,0.6701,0.206,37
Random Forest Classifier,0.9205,0.9386,0.9796,0.9309,0.9546,0.6373,0.6524,0.198,37
Logistic Regression,0.9198,0.9402,0.9665,0.9413,0.9536,0.6557,0.6607,0.098,37
Gradient Boosting Classifier,0.917,0.9262,0.9804,0.9266,0.9527,0.6157,0.6344,0.617,37
Ridge Classifier,0.9156,0.9093,0.9616,0.9407,0.951,0.6463,0.6497,0.113,37
Ada Boost Classifier,0.9072,0.8995,0.9656,0.9287,0.9467,0.586,0.5946,0.27,37
SVM - Linear Kernel,0.9009,0.9088,0.9459,0.9388,0.942,0.5963,0.6026,0.085,37
Decision Tree Classifier,0.8988,0.8055,0.9378,0.9433,0.9404,0.6031,0.6046,0.101,37
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.07,37
Naive Bayes,0.8255,0.7428,0.8601,0.9302,0.8936,0.4116,0.4224,0.075,37
Linear Discriminant Analysis,0.7208,0.648,0.7348,0.9228,0.8167,0.2541,0.2873,0.374,37
Quadratic Discriminant Analysis,0.6358,0.7583,0.6089,0.9452,0.738,0.2197,0.2884,0.337,37
Extra Trees Classifier,0.9386,0.943,0.9796,0.9501,0.9645,0.7359,0.7436,0.238,38
Logistic Regression,0.9372,0.9633,0.973,0.9545,0.9635,0.7365,0.7412,0.09,38
Random Forest Classifier,0.9372,0.9497,0.9828,0.9459,0.9639,0.722,0.7335,0.207,38
Gradient Boosting Classifier,0.933,0.9444,0.9795,0.9441,0.9614,0.7068,0.716,0.574,38
K Neighbors Classifier,0.9316,0.9456,0.9714,0.9498,0.9604,0.7093,0.7134,0.085,38
SVM - Linear Kernel,0.9253,0.9531,0.9656,0.9481,0.9566,0.6867,0.691,0.087,38
Ridge Classifier,0.9184,0.9305,0.955,0.9496,0.9522,0.6708,0.6721,0.103,38
Ada Boost Classifier,0.9162,0.9178,0.9632,0.9405,0.9515,0.642,0.6493,0.263,38
Decision Tree Classifier,0.9058,0.825,0.9395,0.9496,0.9443,0.6371,0.6401,0.102,38
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.066,38
Naive Bayes,0.7885,0.6995,0.8258,0.9186,0.8692,0.3206,0.3351,0.084,38
Linear Discriminant Analysis,0.7418,0.6505,0.7635,0.9204,0.8338,0.2718,0.2981,0.412,38
Quadratic Discriminant Analysis,0.6175,0.7919,0.5719,0.966,0.7176,0.23,0.3221,0.361,38
Logistic Regression,0.9197,0.9379,0.9714,0.937,0.9538,0.6473,0.6549,0.095,39
Random Forest Classifier,0.9128,0.9402,0.9795,0.9231,0.9504,0.5906,0.613,0.2,39
Gradient Boosting Classifier,0.9128,0.9237,0.9812,0.922,0.9505,0.582,0.6064,0.543,39
Extra Trees Classifier,0.9106,0.9327,0.9706,0.9283,0.9488,0.5989,0.614,0.205,39
Ridge Classifier,0.9093,0.9094,0.955,0.9398,0.9473,0.6222,0.625,0.106,39
SVM - Linear Kernel,0.9086,0.9201,0.9558,0.9385,0.9468,0.6181,0.624,0.085,39
K Neighbors Classifier,0.9086,0.9327,0.9632,0.9322,0.9473,0.6021,0.6103,0.085,39
Ada Boost Classifier,0.9023,0.9117,0.9533,0.9341,0.9434,0.5856,0.5927,0.273,39
Decision Tree Classifier,0.8813,0.7678,0.9288,0.9322,0.9301,0.533,0.538,0.102,39
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.079,39
Naive Bayes,0.7781,0.6979,0.8118,0.9187,0.8615,0.3106,0.3272,0.084,39
Linear Discriminant Analysis,0.6916,0.6143,0.7086,0.9099,0.7956,0.1993,0.2286,0.365,39
Quadratic Discriminant Analysis,0.5234,0.7706,0.4664,0.95,0.6241,0.1442,0.2304,0.381,39
Logistic Regression,0.9246,0.9355,0.9713,0.9425,0.9565,0.6731,0.6833,0.098,40
Random Forest Classifier,0.924,0.926,0.9779,0.9363,0.9565,0.6551,0.6701,0.252,40
K Neighbors Classifier,0.9232,0.9209,0.9632,0.9482,0.9554,0.6766,0.6825,0.087,40
Gradient Boosting Classifier,0.9184,0.9167,0.9754,0.9325,0.9533,0.628,0.6443,0.548,40
Extra Trees Classifier,0.9163,0.9231,0.9681,0.9364,0.9518,0.6327,0.6429,0.263,40
Ridge Classifier,0.9156,0.9094,0.9542,0.9477,0.9507,0.6557,0.6614,0.124,40
Ada Boost Classifier,0.903,0.894,0.955,0.9335,0.9438,0.5844,0.5911,0.223,40
SVM - Linear Kernel,0.8946,0.9122,0.9361,0.9405,0.9377,0.5888,0.5967,0.09,40
Decision Tree Classifier,0.8925,0.7851,0.9378,0.9368,0.9371,0.5658,0.5688,0.111,40
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.084,40
Naive Bayes,0.7642,0.6816,0.7987,0.9146,0.8516,0.2798,0.2978,0.084,40
Linear Discriminant Analysis,0.7083,0.6561,0.7225,0.9179,0.8077,0.2331,0.2646,0.477,40
Quadratic Discriminant Analysis,0.6296,0.7737,0.5999,0.9483,0.7288,0.2202,0.2914,0.334,40
