Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Linear Discriminant Analysis,0.7697,0.7478,0.797,0.9228,0.8548,0.3082,0.3299,0.944,21
Naive Bayes,0.4075,0.602,0.3265,0.9411,0.4812,0.0801,0.1595,0.185,21
Quadratic Discriminant Analysis,0.3098,0.7038,0.1931,0.9895,0.3145,0.0634,0.1684,0.6,21
Random Forest Classifier,0.9232,0.9461,0.9763,0.9366,0.9559,0.6584,0.6701,0.285,22
Extra Trees Classifier,0.9211,0.9279,0.9722,0.938,0.9546,0.6524,0.663,0.381,22
K Neighbors Classifier,0.9198,0.9157,0.9656,0.942,0.9535,0.6587,0.6649,0.168,22
Gradient Boosting Classifier,0.9177,0.9409,0.9722,0.9343,0.9527,0.6346,0.6477,1.66,22
Logistic Regression,0.9114,0.9249,0.9607,0.9374,0.9487,0.6196,0.6262,0.199,22
SVM - Linear Kernel,0.9086,0.9137,0.9624,0.933,0.9472,0.6031,0.613,0.203,22
Ada Boost Classifier,0.9002,0.9212,0.9591,0.9268,0.9424,0.5641,0.5754,0.545,22
Decision Tree Classifier,0.8905,0.7907,0.9321,0.9392,0.9354,0.5716,0.5741,0.228,22
Ridge Classifier,0.8632,0.8434,0.9027,0.9351,0.9182,0.4967,0.5021,0.192,22
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,22
Linear Discriminant Analysis,0.7809,0.7547,0.8111,0.9231,0.8626,0.3257,0.3444,0.894,22
Naive Bayes,0.4305,0.5994,0.36,0.9281,0.517,0.0816,0.1499,0.184,22
Quadratic Discriminant Analysis,0.2408,0.6768,0.1146,0.962,0.2031,0.0279,0.1013,0.606,22
Random Forest Classifier,0.9205,0.9443,0.9795,0.9311,0.9546,0.6334,0.6499,0.29,23
K Neighbors Classifier,0.9191,0.9158,0.9722,0.9358,0.9535,0.6409,0.6531,0.171,23
Extra Trees Classifier,0.9163,0.9295,0.9722,0.9327,0.952,0.6262,0.6364,0.323,23
SVM - Linear Kernel,0.9156,0.9342,0.9566,0.9454,0.9507,0.6531,0.6594,0.19,23
Logistic Regression,0.9149,0.9407,0.9648,0.9375,0.9508,0.6326,0.6405,0.199,23
Ada Boost Classifier,0.9149,0.9299,0.9706,0.9327,0.9511,0.6216,0.6316,0.512,23
Gradient Boosting Classifier,0.9128,0.9395,0.9706,0.9304,0.95,0.6108,0.6213,1.669,23
Decision Tree Classifier,0.8758,0.7672,0.9214,0.9325,0.9266,0.5187,0.5229,0.194,23
Ridge Classifier,0.8654,0.8797,0.8953,0.9446,0.9187,0.5233,0.5337,0.249,23
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.136,23
Linear Discriminant Analysis,0.7837,0.7952,0.8061,0.9316,0.8636,0.3485,0.3727,0.927,23
Naive Bayes,0.3929,0.5991,0.3101,0.9333,0.464,0.0705,0.1431,0.162,23
Quadratic Discriminant Analysis,0.2282,0.7074,0.099,0.9605,0.1779,0.0241,0.0936,0.599,23
Extra Trees Classifier,0.9253,0.9422,0.9722,0.9425,0.9569,0.6757,0.686,0.381,24
Random Forest Classifier,0.9239,0.95,0.973,0.9404,0.9562,0.6659,0.6777,0.287,24
Logistic Regression,0.9191,0.9176,0.9632,0.9437,0.9532,0.6539,0.6593,0.199,24
K Neighbors Classifier,0.9149,0.9136,0.9525,0.9482,0.9501,0.6564,0.6603,0.163,24
Gradient Boosting Classifier,0.9149,0.9367,0.9714,0.9322,0.9512,0.6164,0.6298,1.594,24
SVM - Linear Kernel,0.9107,0.9111,0.9526,0.9438,0.9479,0.6307,0.6349,0.182,24
Ada Boost Classifier,0.9093,0.9151,0.9632,0.9329,0.9477,0.6042,0.6114,0.547,24
Ridge Classifier,0.873,0.8729,0.9042,0.9451,0.9239,0.5367,0.5441,0.201,24
Decision Tree Classifier,0.8696,0.7651,0.9133,0.9326,0.9225,0.5067,0.5108,0.231,24
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.163,24
Linear Discriminant Analysis,0.7913,0.7788,0.8126,0.9344,0.8688,0.3671,0.3902,0.921,24
Naive Bayes,0.4005,0.6074,0.3174,0.9415,0.4717,0.0773,0.1567,0.182,24
Quadratic Discriminant Analysis,0.3162,0.677,0.2047,0.9748,0.3304,0.0592,0.1557,0.618,24
Random Forest Classifier,0.9281,0.9484,0.9795,0.9393,0.9588,0.6744,0.6885,0.342,25
Extra Trees Classifier,0.926,0.9345,0.9746,0.9412,0.9575,0.6723,0.6829,0.381,25
K Neighbors Classifier,0.9239,0.9243,0.9648,0.9473,0.9558,0.6792,0.6841,0.171,25
Gradient Boosting Classifier,0.9183,0.9368,0.9738,0.9336,0.9531,0.6343,0.6475,1.647,25
Logistic Regression,0.9134,0.9294,0.9558,0.9439,0.9496,0.6401,0.6447,0.2,25
Ada Boost Classifier,0.9128,0.9177,0.9689,0.9317,0.9498,0.6155,0.6273,0.516,25
SVM - Linear Kernel,0.912,0.9157,0.955,0.943,0.9486,0.64,0.648,0.186,25
Decision Tree Classifier,0.8814,0.7697,0.928,0.9332,0.9302,0.5292,0.5338,0.186,25
Ridge Classifier,0.8744,0.8563,0.91,0.941,0.9251,0.5357,0.5401,0.23,25
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.163,25
Linear Discriminant Analysis,0.7955,0.7793,0.815,0.9374,0.8714,0.3809,0.4054,0.944,25
Naive Bayes,0.4802,0.6204,0.4215,0.9344,0.5781,0.1038,0.1773,0.168,25
Quadratic Discriminant Analysis,0.2463,0.6575,0.1203,0.9678,0.2128,0.0313,0.1106,0.612,25
Random Forest Classifier,0.9205,0.949,0.9771,0.933,0.9545,0.6405,0.6538,0.359,26
Extra Trees Classifier,0.9205,0.933,0.9714,0.9379,0.9542,0.6508,0.6595,0.4,26
Gradient Boosting Classifier,0.917,0.9458,0.9771,0.9294,0.9525,0.621,0.6383,1.669,26
K Neighbors Classifier,0.9148,0.9171,0.964,0.9383,0.9507,0.6342,0.6422,0.207,26
Ada Boost Classifier,0.9072,0.9153,0.9624,0.9313,0.9465,0.5977,0.6047,0.602,26
Logistic Regression,0.9058,0.9299,0.9566,0.9348,0.9455,0.5991,0.6039,0.242,26
SVM - Linear Kernel,0.9037,0.9214,0.955,0.9339,0.9441,0.5925,0.5987,0.212,26
Decision Tree Classifier,0.8821,0.7842,0.9231,0.938,0.9302,0.5476,0.5521,0.245,26
Ridge Classifier,0.8535,0.8447,0.8854,0.9397,0.9112,0.4883,0.4983,0.227,26
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.176,26
Linear Discriminant Analysis,0.7649,0.7557,0.7856,0.9281,0.85,0.3168,0.3434,1.051,26
Naive Bayes,0.4522,0.615,0.3847,0.9361,0.5428,0.0952,0.1711,0.188,26
Quadratic Discriminant Analysis,0.2365,0.6629,0.1088,0.9639,0.1952,0.0273,0.1021,0.693,26
Random Forest Classifier,0.9274,0.9567,0.973,0.9439,0.9581,0.6876,0.6965,0.351,27
Extra Trees Classifier,0.9274,0.9456,0.9697,0.9467,0.9579,0.6927,0.6996,0.339,27
K Neighbors Classifier,0.9239,0.9253,0.968,0.9441,0.9558,0.6795,0.6847,0.211,27
Gradient Boosting Classifier,0.9184,0.9443,0.9697,0.937,0.9529,0.6445,0.6534,1.628,27
Logistic Regression,0.9169,0.9398,0.9574,0.946,0.9515,0.6598,0.663,0.246,27
Ada Boost Classifier,0.9093,0.926,0.9632,0.9328,0.9476,0.6065,0.6139,0.626,27
SVM - Linear Kernel,0.9072,0.9296,0.946,0.9458,0.9453,0.6329,0.6432,0.207,27
Decision Tree Classifier,0.8807,0.7833,0.9214,0.9378,0.9293,0.5438,0.5468,0.226,27
Ridge Classifier,0.8695,0.8664,0.9026,0.9421,0.9217,0.5294,0.5356,0.243,27
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.191,27
Linear Discriminant Analysis,0.7948,0.7941,0.8199,0.9312,0.8718,0.3666,0.3861,0.96,27
Naive Bayes,0.4285,0.6047,0.3568,0.9299,0.5142,0.0814,0.1517,0.193,27
Quadratic Discriminant Analysis,0.2185,0.6632,0.086,0.9762,0.1557,0.0229,0.0958,0.755,27
Random Forest Classifier,0.9225,0.9552,0.9771,0.9353,0.9556,0.653,0.6678,0.371,28
Extra Trees Classifier,0.9204,0.9381,0.9689,0.94,0.9541,0.6558,0.6659,0.39,28
K Neighbors Classifier,0.919,0.9323,0.9632,0.9433,0.953,0.66,0.6649,0.171,28
Gradient Boosting Classifier,0.9148,0.9489,0.9697,0.9332,0.951,0.6256,0.6372,1.668,28
Logistic Regression,0.9142,0.9382,0.9566,0.9438,0.95,0.6453,0.6499,0.202,28
SVM - Linear Kernel,0.9142,0.9304,0.964,0.9375,0.9504,0.631,0.6392,0.181,28
Ada Boost Classifier,0.9079,0.9311,0.9624,0.9321,0.9468,0.6004,0.6082,0.589,28
Decision Tree Classifier,0.873,0.7715,0.9157,0.9341,0.9246,0.5193,0.5224,0.193,28
Ridge Classifier,0.8667,0.8478,0.8969,0.9444,0.9197,0.527,0.5358,0.198,28
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.171,28
Linear Discriminant Analysis,0.7536,0.7305,0.7781,0.9213,0.8426,0.2853,0.3106,0.922,28
Naive Bayes,0.4787,0.6472,0.4083,0.9533,0.5701,0.1259,0.2169,0.157,28
Quadratic Discriminant Analysis,0.2652,0.6736,0.1433,0.9712,0.2481,0.0379,0.1239,0.683,28
K Neighbors Classifier,0.924,0.9243,0.9648,0.9472,0.9558,0.6814,0.6855,0.177,29
Random Forest Classifier,0.9204,0.9508,0.973,0.9368,0.9543,0.6444,0.6593,0.298,29
Logistic Regression,0.9163,0.943,0.9591,0.9442,0.9513,0.6499,0.6586,0.209,29
Extra Trees Classifier,0.9163,0.9304,0.9632,0.9405,0.9515,0.6428,0.6506,0.409,29
Ada Boost Classifier,0.9134,0.9405,0.9656,0.9353,0.95,0.6235,0.6333,0.533,29
Gradient Boosting Classifier,0.912,0.9442,0.9656,0.9341,0.9493,0.6137,0.6269,1.68,29
SVM - Linear Kernel,0.8988,0.9368,0.9427,0.9403,0.9408,0.5841,0.5951,0.211,29
Decision Tree Classifier,0.8751,0.7741,0.9174,0.9352,0.9258,0.5263,0.5318,0.201,29
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,29
Ridge Classifier,0.8479,0.8637,0.8821,0.9365,0.908,0.4644,0.4743,0.242,29
Linear Discriminant Analysis,0.7537,0.758,0.7758,0.9233,0.8422,0.2929,0.3181,1.052,29
Naive Bayes,0.5219,0.6413,0.4721,0.9351,0.6264,0.13,0.2026,0.158,29
Quadratic Discriminant Analysis,0.349,0.7012,0.2431,0.9762,0.3799,0.0757,0.1779,0.65,29
Extra Trees Classifier,0.9219,0.9425,0.9697,0.9408,0.9548,0.6636,0.6721,0.393,30
Gradient Boosting Classifier,0.9198,0.9452,0.9755,0.9338,0.954,0.639,0.6522,1.607,30
Random Forest Classifier,0.9191,0.9499,0.9763,0.9323,0.9537,0.6331,0.6474,0.355,30
K Neighbors Classifier,0.9142,0.9288,0.9624,0.9389,0.9503,0.6344,0.6409,0.168,30
Ada Boost Classifier,0.9128,0.911,0.964,0.9361,0.9495,0.6246,0.6352,0.54,30
Logistic Regression,0.9023,0.9267,0.9533,0.934,0.9431,0.5896,0.6004,0.201,30
SVM - Linear Kernel,0.8911,0.9225,0.9271,0.9455,0.9351,0.5839,0.5976,0.186,30
Decision Tree Classifier,0.8758,0.7623,0.9231,0.9309,0.9267,0.5155,0.5183,0.18,30
Ridge Classifier,0.8534,0.8585,0.8878,0.9373,0.9116,0.4807,0.4885,0.243,30
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,30
Linear Discriminant Analysis,0.7585,0.7509,0.7823,0.9234,0.8466,0.2935,0.3186,0.962,30
Naive Bayes,0.4717,0.6312,0.405,0.9437,0.5658,0.111,0.1937,0.156,30
Quadratic Discriminant Analysis,0.2359,0.6531,0.1064,0.9844,0.1889,0.0297,0.1135,0.706,30
Extra Trees Classifier,0.9316,0.928,0.9762,0.9456,0.9606,0.7019,0.7097,0.383,31
Random Forest Classifier,0.9274,0.9438,0.9787,0.9389,0.9583,0.6777,0.6884,0.353,31
K Neighbors Classifier,0.9239,0.9249,0.9681,0.9444,0.956,0.675,0.6799,0.166,31
Gradient Boosting Classifier,0.9204,0.9437,0.9738,0.9359,0.9543,0.6446,0.6555,1.558,31
Logistic Regression,0.9176,0.9314,0.9623,0.9427,0.9523,0.6513,0.6568,0.209,31
SVM - Linear Kernel,0.9142,0.9263,0.9509,0.9489,0.9497,0.655,0.658,0.173,31
Ada Boost Classifier,0.9121,0.9254,0.9697,0.9304,0.9496,0.6065,0.6168,0.529,31
Decision Tree Classifier,0.8981,0.8011,0.9386,0.9417,0.9401,0.598,0.5992,0.192,31
Ridge Classifier,0.873,0.8817,0.9034,0.9453,0.9236,0.5459,0.5527,0.196,31
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,31
Linear Discriminant Analysis,0.7927,0.8032,0.8126,0.936,0.8696,0.374,0.3977,1.046,31
Naive Bayes,0.4026,0.6671,0.3199,0.9422,0.4731,0.0791,0.1587,0.168,31
Quadratic Discriminant Analysis,0.2275,0.7027,0.0982,0.964,0.1766,0.0238,0.0941,0.682,31
K Neighbors Classifier,0.926,0.9224,0.9615,0.9525,0.9569,0.6951,0.6978,0.197,32
Random Forest Classifier,0.9225,0.9498,0.9738,0.9382,0.9555,0.6563,0.6692,0.311,32
Extra Trees Classifier,0.9204,0.9285,0.9656,0.9428,0.9539,0.6604,0.6661,0.365,32
Logistic Regression,0.919,0.9365,0.9574,0.9483,0.9528,0.6675,0.6689,0.237,32
Gradient Boosting Classifier,0.9169,0.9478,0.9714,0.9341,0.9523,0.6326,0.6431,1.573,32
Ada Boost Classifier,0.9121,0.9217,0.9673,0.9325,0.9494,0.6118,0.6208,0.511,32
SVM - Linear Kernel,0.9065,0.9246,0.9591,0.9341,0.946,0.5892,0.6015,0.18,32
Decision Tree Classifier,0.8995,0.8022,0.9402,0.9421,0.941,0.6003,0.603,0.194,32
Ridge Classifier,0.8646,0.849,0.8969,0.9418,0.9187,0.5148,0.5213,0.197,32
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,32
Linear Discriminant Analysis,0.7836,0.7946,0.8019,0.935,0.8628,0.362,0.3872,0.918,32
Naive Bayes,0.4626,0.6162,0.3985,0.9322,0.5572,0.0989,0.171,0.167,32
Quadratic Discriminant Analysis,0.2408,0.6714,0.1162,0.9459,0.2059,0.0254,0.0898,0.702,32
Extra Trees Classifier,0.9274,0.9423,0.9722,0.9447,0.9581,0.6867,0.6948,0.384,33
Random Forest Classifier,0.9253,0.9479,0.9787,0.9369,0.9572,0.6634,0.678,0.359,33
Gradient Boosting Classifier,0.9169,0.9416,0.9672,0.9374,0.9519,0.6448,0.6544,1.656,33
Logistic Regression,0.9149,0.9329,0.9583,0.9432,0.9505,0.6457,0.6508,0.207,33
Ada Boost Classifier,0.9128,0.9366,0.9624,0.9372,0.9495,0.6278,0.6327,0.604,33
K Neighbors Classifier,0.9114,0.9192,0.959,0.9387,0.9485,0.627,0.6344,0.171,33
SVM - Linear Kernel,0.9079,0.926,0.9501,0.9429,0.9461,0.6258,0.6314,0.179,33
Decision Tree Classifier,0.8779,0.7641,0.9255,0.931,0.928,0.5235,0.5263,0.19,33
Ridge Classifier,0.8605,0.8518,0.892,0.9418,0.9159,0.505,0.5137,0.24,33
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.161,33
Linear Discriminant Analysis,0.7808,0.7718,0.8052,0.9285,0.8622,0.3381,0.3601,1.018,33
Naive Bayes,0.4871,0.6403,0.423,0.9464,0.5835,0.1208,0.2056,0.164,33
Quadratic Discriminant Analysis,0.2442,0.6623,0.1162,0.9766,0.2067,0.033,0.1182,0.718,33
K Neighbors Classifier,0.9246,0.9312,0.9656,0.9473,0.9562,0.6838,0.6892,0.174,34
Random Forest Classifier,0.9239,0.9464,0.9795,0.9348,0.9565,0.6548,0.6738,0.365,34
Extra Trees Classifier,0.9225,0.9361,0.9713,0.9401,0.9553,0.6636,0.6738,0.559,34
Logistic Regression,0.917,0.9346,0.964,0.9405,0.9519,0.6466,0.6538,0.192,34
Gradient Boosting Classifier,0.9156,0.9422,0.9746,0.9301,0.9517,0.6178,0.6332,1.704,34
Ada Boost Classifier,0.9121,0.9296,0.9648,0.935,0.9493,0.6145,0.6253,0.605,34
SVM - Linear Kernel,0.91,0.9211,0.9476,0.947,0.9471,0.6421,0.6451,0.211,34
Decision Tree Classifier,0.8835,0.784,0.9247,0.938,0.9311,0.5504,0.5536,0.207,34
Ridge Classifier,0.8647,0.8531,0.8953,0.9433,0.9185,0.5195,0.5266,0.231,34
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,34
Linear Discriminant Analysis,0.6907,0.672,0.7093,0.8357,0.7671,0.2882,0.3116,0.989,34
Naive Bayes,0.4675,0.625,0.4017,0.9393,0.5614,0.106,0.1846,0.161,34
Quadratic Discriminant Analysis,0.2107,0.6375,0.0786,0.9519,0.1441,0.0173,0.076,0.69,34
Random Forest Classifier,0.9274,0.9344,0.9803,0.9378,0.9585,0.6699,0.6839,0.368,35
Gradient Boosting Classifier,0.9232,0.9386,0.9746,0.9382,0.9559,0.659,0.6713,1.653,35
Extra Trees Classifier,0.9232,0.9267,0.9713,0.9411,0.9558,0.6627,0.6722,0.367,35
Logistic Regression,0.9184,0.9259,0.9607,0.9451,0.9526,0.6566,0.6621,0.243,35
K Neighbors Classifier,0.9156,0.9023,0.9615,0.9413,0.9511,0.6399,0.6466,0.221,35
Ada Boost Classifier,0.9093,0.9183,0.9623,0.9336,0.9477,0.6078,0.6134,0.609,35
SVM - Linear Kernel,0.9002,0.9153,0.9419,0.9424,0.9411,0.6007,0.6146,0.213,35
Decision Tree Classifier,0.8834,0.7844,0.9255,0.9376,0.9313,0.5447,0.5476,0.221,35
Ridge Classifier,0.8632,0.8309,0.8903,0.9472,0.9172,0.52,0.5322,0.234,35
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.167,35
Linear Discriminant Analysis,0.7949,0.7599,0.8184,0.9337,0.8715,0.3679,0.3908,1.034,35
Naive Bayes,0.3817,0.614,0.297,0.9326,0.4481,0.0646,0.1357,0.189,35
Quadratic Discriminant Analysis,0.2555,0.6912,0.1351,0.9385,0.2325,0.0294,0.0915,0.689,35
K Neighbors Classifier,0.9267,0.918,0.9615,0.9532,0.9572,0.6996,0.7021,0.225,36
Random Forest Classifier,0.9253,0.9561,0.9763,0.9389,0.9571,0.6675,0.6776,0.362,36
Extra Trees Classifier,0.9253,0.9436,0.9706,0.9438,0.9569,0.6774,0.683,0.386,36
Gradient Boosting Classifier,0.917,0.9444,0.9697,0.9355,0.9522,0.6349,0.6432,1.624,36
Logistic Regression,0.9113,0.9332,0.9583,0.9392,0.9486,0.6267,0.6296,0.219,36
Ada Boost Classifier,0.9072,0.9335,0.9583,0.9347,0.9462,0.6062,0.6111,0.608,36
SVM - Linear Kernel,0.9058,0.9205,0.9591,0.9329,0.9456,0.5929,0.6014,0.225,36
Decision Tree Classifier,0.8876,0.7913,0.928,0.94,0.9337,0.562,0.5651,0.23,36
Ridge Classifier,0.866,0.842,0.9026,0.938,0.9197,0.5129,0.5178,0.233,36
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,36
Linear Discriminant Analysis,0.7759,0.7582,0.7987,0.9289,0.8583,0.3331,0.3569,0.897,36
Naive Bayes,0.4376,0.6056,0.3675,0.9323,0.5252,0.0869,0.1591,0.189,36
Quadratic Discriminant Analysis,0.2421,0.6306,0.1145,0.9762,0.2008,0.0313,0.1121,0.685,36
Extra Trees Classifier,0.9246,0.9433,0.9747,0.9395,0.9566,0.6675,0.6777,0.364,37
Random Forest Classifier,0.9225,0.9518,0.9796,0.9333,0.9557,0.6464,0.663,0.287,37
Logistic Regression,0.9184,0.9379,0.9665,0.9397,0.9528,0.6508,0.6579,0.204,37
K Neighbors Classifier,0.9183,0.9198,0.9648,0.9411,0.9527,0.6532,0.6585,0.167,37
Ada Boost Classifier,0.91,0.91,0.9681,0.9295,0.9483,0.5987,0.6079,0.533,37
Gradient Boosting Classifier,0.91,0.9357,0.9738,0.9247,0.9486,0.588,0.6023,1.64,37
SVM - Linear Kernel,0.9086,0.9231,0.9566,0.9384,0.9466,0.6173,0.6304,0.205,37
Decision Tree Classifier,0.8862,0.798,0.9231,0.9428,0.9324,0.5683,0.5747,0.222,37
Ridge Classifier,0.8723,0.8787,0.9026,0.9452,0.9231,0.5437,0.5506,0.196,37
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.163,37
Linear Discriminant Analysis,0.8032,0.8129,0.8191,0.9427,0.8764,0.4033,0.4288,0.919,37
Naive Bayes,0.4012,0.5953,0.3216,0.9347,0.4766,0.0713,0.1448,0.176,37
Quadratic Discriminant Analysis,0.2107,0.6466,0.0769,0.9652,0.1415,0.0197,0.0859,0.627,37
Random Forest Classifier,0.9232,0.9534,0.9796,0.934,0.9561,0.6498,0.666,0.298,38
Extra Trees Classifier,0.9204,0.9394,0.9714,0.938,0.9542,0.6498,0.6601,0.388,38
K Neighbors Classifier,0.9176,0.9246,0.964,0.9411,0.9523,0.6494,0.6539,0.214,38
Gradient Boosting Classifier,0.9121,0.9404,0.9689,0.9312,0.9495,0.6081,0.6198,1.7,38
Logistic Regression,0.9093,0.9196,0.9583,0.937,0.9474,0.6161,0.6202,0.259,38
Ada Boost Classifier,0.9044,0.9163,0.9664,0.9253,0.9452,0.5701,0.585,0.607,38
SVM - Linear Kernel,0.8876,0.9058,0.932,0.9371,0.9334,0.5596,0.5704,0.173,38
Decision Tree Classifier,0.8813,0.7728,0.9272,0.9336,0.9301,0.5336,0.5364,0.218,38
Ridge Classifier,0.8653,0.8429,0.901,0.9391,0.9193,0.5093,0.5159,0.198,38
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,38
Linear Discriminant Analysis,0.776,0.7489,0.7995,0.9278,0.8587,0.3315,0.3541,0.928,38
Naive Bayes,0.397,0.5979,0.315,0.9363,0.4682,0.0727,0.1476,0.193,38
Quadratic Discriminant Analysis,0.2609,0.6844,0.1374,0.9656,0.2375,0.0381,0.1196,0.652,38
Random Forest Classifier,0.9246,0.9485,0.9763,0.9381,0.9567,0.6661,0.6776,0.304,39
Extra Trees Classifier,0.9239,0.9299,0.973,0.9401,0.9562,0.6687,0.677,0.41,39
K Neighbors Classifier,0.9212,0.9335,0.9648,0.9444,0.9543,0.6659,0.672,0.165,39
Logistic Regression,0.9169,0.9375,0.964,0.9402,0.9519,0.6478,0.6518,0.201,39
Gradient Boosting Classifier,0.9156,0.9395,0.9697,0.9342,0.9515,0.6261,0.6363,1.628,39
SVM - Linear Kernel,0.9135,0.9264,0.9567,0.9433,0.9496,0.6405,0.6485,0.217,39
Ada Boost Classifier,0.91,0.9278,0.9665,0.9309,0.9482,0.6018,0.611,0.529,39
Decision Tree Classifier,0.8862,0.7745,0.9329,0.9344,0.9333,0.5422,0.5481,0.196,39
Ridge Classifier,0.8653,0.8649,0.9002,0.9396,0.9192,0.5125,0.5185,0.227,39
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.175,39
Linear Discriminant Analysis,0.7976,0.7817,0.8265,0.9286,0.8742,0.3627,0.3803,0.947,39
Naive Bayes,0.4786,0.6237,0.4182,0.9327,0.5763,0.1082,0.18,0.159,39
Quadratic Discriminant Analysis,0.2205,0.6895,0.0916,0.9452,0.1651,0.0187,0.0751,0.617,39
Random Forest Classifier,0.9337,0.9548,0.9836,0.9415,0.9621,0.7001,0.7127,0.286,40
Extra Trees Classifier,0.933,0.9432,0.9763,0.9473,0.9614,0.7067,0.7164,0.385,40
K Neighbors Classifier,0.9267,0.9362,0.9697,0.946,0.9576,0.6879,0.6943,0.208,40
Gradient Boosting Classifier,0.9253,0.9452,0.9804,0.9356,0.9573,0.6584,0.673,1.606,40
Logistic Regression,0.9211,0.9389,0.9615,0.9472,0.9542,0.6704,0.6744,0.235,40
Ada Boost Classifier,0.919,0.9212,0.9714,0.9364,0.9534,0.6428,0.6524,0.569,40
SVM - Linear Kernel,0.9121,0.925,0.9526,0.9452,0.9486,0.6426,0.6477,0.207,40
Decision Tree Classifier,0.9002,0.8282,0.9305,0.9519,0.9408,0.6195,0.6243,0.235,40
Ridge Classifier,0.8667,0.864,0.8969,0.9448,0.9198,0.5233,0.5325,0.196,40
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.177,40
Linear Discriminant Analysis,0.7753,0.7544,0.7995,0.9274,0.8584,0.3258,0.3493,0.927,40
Naive Bayes,0.4794,0.6376,0.4134,0.9463,0.5736,0.1183,0.2029,0.191,40
Quadratic Discriminant Analysis,0.2484,0.6883,0.1244,0.9664,0.216,0.0298,0.1052,0.614,40
