Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.9170731707317074,0.8501352476071578,0.8501352476071578,0.9194615414022479,0.2615656852722168
XGBClassifier,0.9292682926829269,0.8414481897627966,0.8414481897627966,0.9289873721638999,0.6017651557922363
BaggingClassifier,0.9170731707317074,0.8344257178526842,0.8344257178526842,0.9183197503887872,1.1475625038146973
LGBMClassifier,0.9292682926829269,0.8335934248855597,0.8335934248855597,0.928406227918423,1.0112125873565674
KNeighborsClassifier,0.926829268292683,0.8321889305035373,0.8321889305035373,0.9262414583873126,0.14078783988952637
RidgeClassifierCV,0.9121951219512195,0.8316167290886392,0.8316167290886392,0.9141326680897641,0.7593858242034912
LogisticRegression,0.9170731707317074,0.8265709529754474,0.8265709529754474,0.9177102526467006,0.2550661563873291
LinearSVC,0.9024390243902439,0.8259987515605494,0.8259987515605494,0.9058780852910658,2.398665428161621
SVC,0.9390243902439024,0.8235018726591761,0.8235018726591761,0.9360308634955281,0.864483118057251
ExtraTreesClassifier,0.9243902439024391,0.822929671244278,0.822929671244278,0.9234687263955557,0.6117143630981445
PassiveAggressiveClassifier,0.9073170731707317,0.8209529754473575,0.8209529754473575,0.9093622607614178,0.24364376068115234
Perceptron,0.8975609756097561,0.8153349979192677,0.8153349979192677,0.9011719895556191,0.17868542671203613
AdaBoostClassifier,0.9243902439024391,0.8072201414898044,0.8072201414898045,0.9221381624576515,1.5305097103118896
RandomForestClassifier,0.9219512195121952,0.805815647107782,0.805815647107782,0.9199817762555801,0.47066187858581543
ExtraTreeClassifier,0.8926829268292683,0.7811069496462755,0.7811069496462755,0.8942961475619599,0.10489869117736816
RidgeClassifier,0.8609756097560975,0.7785580524344569,0.778558052434457,0.8701790215828992,0.30288076400756836
SGDClassifier,0.9146341463414634,0.7701831044527674,0.7701831044527674,0.9104432088937393,0.19633984565734863
NearestCentroid,0.8219512195121951,0.732521847690387,0.732521847690387,0.8377530746435408,0.13754725456237793
GaussianNB,0.8170731707317073,0.7297128589263421,0.7297128589263421,0.8340342990432065,0.12964344024658203
LinearDiscriminantAnalysis,0.7658536585365854,0.7159280066583438,0.7159280066583438,0.796376106349767,1.4757981300354004
BernoulliNB,0.8097560975609757,0.7097898460258011,0.7097898460258011,0.8270219307235088,0.1583418846130371
QuadraticDiscriminantAnalysis,0.5024390243902439,0.6977736163129421,0.6977736163129422,0.5668049176433323,1.4109151363372803
CalibratedClassifierCV,0.9048780487804878,0.6860174781523096,0.6860174781523096,0.8907620713554903,10.022375583648682
LabelSpreading,0.24634146341463414,0.5503017062005826,0.5503017062005827,0.24223893822901674,0.2356574535369873
LabelPropagation,0.24634146341463414,0.5503017062005826,0.5503017062005827,0.24223893822901674,0.21321821212768555
DummyClassifier,0.8682926829268293,0.5,0.5,0.8070814494045724,0.0932319164276123
