Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
18,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
18,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
19,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
19,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
19,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
19,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
19,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
20,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
20,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
20,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
20,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
20,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
21,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
21,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
21,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
21,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
21,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
22,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
22,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
22,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
22,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
22,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
23,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
23,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
23,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
23,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
23,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
24,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
24,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
24,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
24,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
24,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
25,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
25,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
25,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
25,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
25,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
26,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
26,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
26,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
26,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
26,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
27,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
27,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
27,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
27,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
27,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
28,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
28,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
28,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
28,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
28,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
29,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
29,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
29,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
29,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
29,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
30,Logistic Regression,0.9146341463414634,0.8144125574758205,0.8094569288389513,0.8119044186076995,0.9386704119850189
30,Random Forest,0.9195121951219513,0.8378995433789954,0.788701622971286,0.8104484512251502,0.9547440699126092
30,SVM,0.9073170731707317,0.794817789968652,0.8130982105701208,0.8035209846650524,0.9147419891801913
30,Gradient Boosting,0.9146341463414634,0.8291299664153096,0.7701831044527674,0.7953829262380402,0.9525593008739076
30,KNN,0.9365853658536586,0.8650623119896863,0.8535164377861006,0.8591512076528725,0.9365376612567624
