model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_accuracy,eval_balanced_accuracy,eval_mcc,eval_roc_auc,eval_f1,eval_precision,eval_recall
LightGBMLarge,0.9341463414634147,0.9329268292682927,accuracy,0.04146456718444824,0.011363744735717773,4.433511018753052,0.04146456718444824,0.011363744735717773,4.433511018753052,1,True,11,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
NeuralNetFastAI,0.9292682926829269,0.9451219512195121,accuracy,0.054680824279785156,0.01607060432434082,3.5172226428985596,0.054680824279785156,0.01607060432434082,3.5172226428985596,1,True,8,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
WeightedEnsemble_L2,0.9292682926829269,0.9451219512195121,accuracy,0.05690717697143555,0.016599655151367188,3.5577948093414307,0.0022263526916503906,0.0005290508270263672,0.040572166442871094,2,True,12,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
XGBoost,0.926829268292683,0.9451219512195121,accuracy,0.033966779708862305,0.012526273727416992,3.166468858718872,0.033966779708862305,0.012526273727416992,3.166468858718872,1,True,9,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
LightGBM,0.9243902439024391,0.9390243902439024,accuracy,0.014005899429321289,0.0060656070709228516,1.756094217300415,0.014005899429321289,0.0060656070709228516,1.756094217300415,1,True,2,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
LightGBMXT,0.9243902439024391,0.9390243902439024,accuracy,0.014490842819213867,0.006056070327758789,1.8816614151000977,0.014490842819213867,0.006056070327758789,1.8816614151000977,1,True,1,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
NeuralNetTorch,0.9219512195121952,0.9390243902439024,accuracy,0.0219728946685791,0.007000923156738281,2.387042284011841,0.0219728946685791,0.007000923156738281,2.387042284011841,1,True,10,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
CatBoost,0.9219512195121952,0.9420731707317073,accuracy,0.07300138473510742,0.017006635665893555,36.788902044296265,0.07300138473510742,0.017006635665893555,36.788902044296265,1,True,5,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
ExtraTreesGini,0.9195121951219513,0.926829268292683,accuracy,0.0928964614868164,0.05745840072631836,0.8938338756561279,0.0928964614868164,0.05745840072631836,0.8938338756561279,1,True,6,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
RandomForestEntr,0.9170731707317074,0.926829268292683,accuracy,0.09461688995361328,0.07830667495727539,1.2395339012145996,0.09461688995361328,0.07830667495727539,1.2395339012145996,1,True,4,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
RandomForestGini,0.9170731707317074,0.926829268292683,accuracy,0.10824346542358398,0.060372114181518555,1.0207085609436035,0.10824346542358398,0.060372114181518555,1.0207085609436035,1,True,3,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
ExtraTreesEntr,0.9146341463414634,0.9298780487804879,accuracy,0.11608314514160156,0.0563199520111084,1.1133432388305664,0.11608314514160156,0.0563199520111084,1.1133432388305664,1,True,7,1,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
LightGBMLarge,0.9341463414634147,0.9329268292682927,accuracy,0.0423588752746582,0.011395454406738281,4.16645884513855,0.0423588752746582,0.011395454406738281,4.16645884513855,1,True,11,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
NeuralNetFastAI,0.9292682926829269,0.9451219512195121,accuracy,0.04308152198791504,0.015536308288574219,3.4404616355895996,0.04308152198791504,0.015536308288574219,3.4404616355895996,1,True,8,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
WeightedEnsemble_L2,0.9292682926829269,0.9451219512195121,accuracy,0.045485496520996094,0.016108036041259766,3.483557939529419,0.0024039745330810547,0.0005717277526855469,0.043096303939819336,2,True,12,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
XGBoost,0.926829268292683,0.9451219512195121,accuracy,0.028494596481323242,0.012810230255126953,3.2061767578125,0.028494596481323242,0.012810230255126953,3.2061767578125,1,True,9,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
LightGBM,0.9243902439024391,0.9390243902439024,accuracy,0.009745597839355469,0.006165742874145508,1.7010440826416016,0.009745597839355469,0.006165742874145508,1.7010440826416016,1,True,2,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
LightGBMXT,0.9243902439024391,0.9390243902439024,accuracy,0.01246786117553711,0.0063817501068115234,1.9013726711273193,0.01246786117553711,0.0063817501068115234,1.9013726711273193,1,True,1,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
NeuralNetTorch,0.9219512195121952,0.9390243902439024,accuracy,0.023336410522460938,0.016134977340698242,2.6582419872283936,0.023336410522460938,0.016134977340698242,2.6582419872283936,1,True,10,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
CatBoost,0.9219512195121952,0.9420731707317073,accuracy,0.0652000904083252,0.017807722091674805,37.04369044303894,0.0652000904083252,0.017807722091674805,37.04369044303894,1,True,5,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
ExtraTreesGini,0.9195121951219513,0.926829268292683,accuracy,0.11271214485168457,0.054353952407836914,0.8475873470306396,0.11271214485168457,0.054353952407836914,0.8475873470306396,1,True,6,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
RandomForestGini,0.9170731707317074,0.926829268292683,accuracy,0.08844161033630371,0.08752107620239258,0.9201765060424805,0.08844161033630371,0.08752107620239258,0.9201765060424805,1,True,3,2,0.9292682926829269,0.8178838951310861,0.674866948251366,0.909384103204328,0.9596662030598053,0.9504132231404959,0.9691011235955056
