model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_root_mean_squared_error,eval_mean_squared_error,eval_mean_absolute_error,eval_r2,eval_pearsonr,eval_median_absolute_error
WeightedEnsemble_L2,-0.8363640353000834,-0.8535168293289911,root_mean_squared_error,0.32936882972717285,0.10276556015014648,88.02517986297607,0.002943754196166992,0.00030803680419921875,0.006288290023803711,2,True,10,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
LightGBMXT,-0.8453215204959622,-0.8660257063043891,root_mean_squared_error,0.0172576904296875,0.009551048278808594,2.7436065673828125,0.0172576904296875,0.009551048278808594,2.7436065673828125,1,True,1,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
LightGBM,-0.8453215204959622,-0.8660257063043891,root_mean_squared_error,0.01788473129272461,0.007515668869018555,1.9932928085327148,0.01788473129272461,0.007515668869018555,1.9932928085327148,1,True,2,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
CatBoost,-0.8493025010165954,-0.8664854552558903,root_mean_squared_error,0.07344794273376465,0.019739866256713867,47.74531960487366,0.07344794273376465,0.019739866256713867,47.74531960487366,1,True,4,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
XGBoost,-0.8520361952070095,-0.88810292437981,root_mean_squared_error,0.03493642807006836,0.015446901321411133,5.041898727416992,0.03493642807006836,0.015446901321411133,5.041898727416992,1,True,7,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
ExtraTreesMSE,-0.8664164987660444,-0.8737842543238982,root_mean_squared_error,0.22043895721435547,0.0550234317779541,26.127493143081665,0.22043895721435547,0.0550234317779541,26.127493143081665,1,True,5,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
RandomForestMSE,-0.8667264339939347,-0.8720685109106397,root_mean_squared_error,0.22053742408752441,0.06586027145385742,29.29914355278015,0.22053742408752441,0.06586027145385742,29.29914355278015,1,True,3,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
NeuralNetTorch,-0.8678608892074856,-0.9102199978004846,root_mean_squared_error,0.015182018280029297,0.007306337356567383,8.23082184791565,0.015182018280029297,0.007306337356567383,8.23082184791565,1,True,8,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
NeuralNetFastAI,-0.8770161001748324,-0.906877581766832,root_mean_squared_error,0.04207921028137207,0.017578125,3.7953813076019287,0.04207921028137207,0.017578125,3.7953813076019287,1,True,6,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
LightGBMLarge,-0.8791590533164384,-0.8966481078085415,root_mean_squared_error,0.018804311752319336,0.00732421875,4.459681749343872,0.018804311752319336,0.00732421875,4.459681749343872,1,True,9,1,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
WeightedEnsemble_L2,-0.8363640353000834,-0.8535168293289911,root_mean_squared_error,0.3842604160308838,0.09359884262084961,85.38639640808105,0.002894878387451172,0.0004222393035888672,0.009126663208007812,2,True,10,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
LightGBMXT,-0.8453215204959622,-0.8660257063043891,root_mean_squared_error,0.017657995223999023,0.009860992431640625,2.37601637840271,0.017657995223999023,0.009860992431640625,2.37601637840271,1,True,1,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
LightGBM,-0.8453215204959622,-0.8660257063043891,root_mean_squared_error,0.024214506149291992,0.009822607040405273,2.635021448135376,0.024214506149291992,0.009822607040405273,2.635021448135376,1,True,2,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
CatBoost,-0.8493025010165954,-0.8664854552558903,root_mean_squared_error,0.0828251838684082,0.021533966064453125,46.34640336036682,0.0828251838684082,0.021533966064453125,46.34640336036682,1,True,4,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
XGBoost,-0.8520361952070095,-0.88810292437981,root_mean_squared_error,0.033789634704589844,0.014284133911132812,5.05371618270874,0.033789634704589844,0.014284133911132812,5.05371618270874,1,True,7,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
ExtraTreesMSE,-0.8664164987660444,-0.8737842543238982,root_mean_squared_error,0.21771574020385742,0.05501413345336914,26.162073612213135,0.21771574020385742,0.05501413345336914,26.162073612213135,1,True,5,2,-0.8363640353000834,-0.6995047995434391,-0.6012089062230833,0.6993542564886372,0.8367873232263504,-0.4066515595278588
